CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,ICD10CMCode,concept_code,concept_id
C2843978,ENG,P,L9371457,PF,S11656960,Y,A17818030,,,S51.859,ICD10CM,HT,S51.859,Open bite of unspecified forearm,4,N,256.0,,['Injury or Poisoning'],S51859,S51.859,12808
C2843987,ENG,P,L9416162,PF,S11690353,N,A17869003,,,S52.001D,ICD10CM,PT,S52.001D,"Unspecified fracture of upper end of right ulna, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52001D,S52.001D,45583353
C2844011,ENG,P,L9375471,PF,S11690296,Y,A17830835,,,S52.002M,ICD10CM,PT,S52.002M,"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with nonunion",4,N,,,['Injury or Poisoning'],S52002M,S52.002M,45535115
C2844019,ENG,P,L9416169,PF,S11690408,N,A17779558,,,S52.009B,ICD10CM,PT,S52.009B,"Unspecified fracture of upper end of unspecified ulna, initial encounter for open fracture type I or II",4,N,,,['Injury or Poisoning'],S52009B,S52.009B,45544819
C2844039,ENG,P,L10389904,PF,S12955705,Y,A20164194,,,S52.011K,ICD10CM,PT,S52.011K,"Torus fracture of upper end of right ulna, subsequent encounter for fracture with nonunion",4,N,,,['Injury or Poisoning'],S52011K,S52.011K,45544821
C2844040,ENG,P,L10355864,PF,S12955704,Y,A20164195,,,S52.011P,ICD10CM,PT,S52.011P,"Torus fracture of upper end of right ulna, subsequent encounter for fracture with malunion",4,N,,,['Injury or Poisoning'],S52011P,S52.011P,45583358
C2844053,ENG,P,L10372746,PF,S12955726,Y,A20119233,,,S52.019K,ICD10CM,PT,S52.019K,"Torus fracture of upper end of unspecified ulna, subsequent encounter for fracture with nonunion",4,N,,,['Injury or Poisoning'],S52019K,S52.019K,45602668
C2844061,ENG,P,L9388696,PF,S11630005,N,A17856146,,,S52.021D,ICD10CM,PT,S52.021D,"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52021D,S52.021D,45597879
C2844069,ENG,P,L9378553,PF,S11630012,N,A17779565,,,S52.021N,ICD10CM,PT,S52.021N,"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52021N,S52.021N,45554423
C2844104,ENG,P,L9368212,PF,S11630020,N,A17818045,,,S52.023P,ICD10CM,PT,S52.023P,"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52023P,S52.023P,45563965
C2844108,ENG,P,L9360642,PF,S11653298,N,A17805101,,,S52.024,ICD10CM,HT,S52.024,Nondisplaced fracture of olecranon process without intraarticular extension of right ulna,4,N,,,['Injury or Poisoning'],S52024,S52.024,12818
C2844113,ENG,P,L9360640,PF,S11653293,N,A17779575,,,S52.024E,ICD10CM,PT,S52.024E,"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52024E,S52.024E,45583360
C2844126,ENG,P,L9411803,PF,S11653265,N,A17869018,,,S52.025A,ICD10CM,PT,S52.025A,"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52025A,S52.025A,45535122
C2844173,ENG,P,L9408958,PF,S11629952,N,A17830852,,,S52.031P,ICD10CM,PT,S52.031P,"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52031P,S52.031P,45544833
C2844174,ENG,P,L9408959,PF,S11629956,N,A17792308,,,S52.031Q,ICD10CM,PT,S52.031Q,"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with malunion",4,N,,,['Injury or Poisoning'],S52031Q,S52.031Q,45535125
C2844177,ENG,P,L9388687,PF,S11629946,N,A17779584,,,S52.032,ICD10CM,HT,S52.032,Displaced fracture of olecranon process with intraarticular extension of left ulna,4,N,,,['Injury or Poisoning'],S52032,S52.032,12822
C2844193,ENG,P,L9368202,PF,S11629933,Y,A17805120,,,S52.032S,ICD10CM,PT,S52.032S,"Displaced fracture of olecranon process with intraarticular extension of left ulna, sequela",4,N,,,['Injury or Poisoning'],S52032S,S52.032S,45563970
C2844195,ENG,P,L9388689,PF,S11629964,N,A17869031,,,S52.033A,ICD10CM,PT,S52.033A,"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52033A,S52.033A,45563971
C2844215,ENG,P,L9350363,PF,S11653238,N,A17843535,,,S52.034D,ICD10CM,PT,S52.034D,"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52034D,S52.034D,45568812
C2844217,ENG,P,L9350365,PF,S11653246,N,A17792313,,,S52.034F,ICD10CM,PT,S52.034F,"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",4,N,,,['Injury or Poisoning'],S52034F,S52.034F,45578465
C2844239,ENG,P,L9381256,PF,S11653224,N,A17869039,,,S52.035M,ICD10CM,PT,S52.035M,"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with nonunion",4,N,,,['Injury or Poisoning'],S52035M,S52.035M,45563978
C2844252,ENG,P,L9411802,PF,S11653252,N,A17805128,,,S52.036G,ICD10CM,PT,S52.036G,"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52036G,S52.036G,45597895
C2844259,ENG,P,L9371016,PF,S11653257,N,A17818062,,,S52.036Q,ICD10CM,PT,S52.036Q,"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",4,N,,,['Injury or Poisoning'],S52036Q,S52.036Q,45559158
C2844262,ENG,P,L9398528,PF,S11628366,N,A17869042,,,S52.041,ICD10CM,HT,S52.041,Displaced fracture of coronoid process of right ulna,4,N,256.0,,['Injury or Poisoning'],S52041,S52.041,12827
C2844267,ENG,P,L9347413,PF,S11628361,N,A17843540,,,S52.041E,ICD10CM,PT,S52.041E,"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52041E,S52.041E,45602682
C2844271,ENG,P,L9378346,PF,S11628362,N,A17792320,,,S52.041J,ICD10CM,PT,S52.041J,"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52041J,S52.041J,45573731
C2844272,ENG,P,L9357650,PF,S11628356,N,A17805130,,,S52.041K,ICD10CM,PT,S52.041K,"Displaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with nonunion",4,N,,,['Injury or Poisoning'],S52041K,S52.041K,45549663
C2844285,ENG,P,L9408753,PF,S11628348,N,A17779599,,,S52.042F,ICD10CM,PT,S52.042F,"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",4,N,,,['Injury or Poisoning'],S52042F,S52.042F,45544837
C2844287,ENG,P,L9378343,PF,S11628341,N,A17818064,,,S52.042H,ICD10CM,PT,S52.042H,"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S52042H,S52.042H,45602685
C2844290,ENG,P,L9347412,PF,S11628343,N,A17792324,,,S52.042M,ICD10CM,PT,S52.042M,"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with nonunion",4,N,,,['Injury or Poisoning'],S52042M,S52.042M,45568814
C2844294,ENG,P,L9398525,PF,S11628346,N,A17843544,,,S52.042R,ICD10CM,PT,S52.042R,"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",4,N,,,['Injury or Poisoning'],S52042R,S52.042R,45588205
C2844300,ENG,P,L9368018,PF,S11628374,N,A17805137,,,S52.043D,ICD10CM,PT,S52.043D,"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52043D,S52.043D,45593082
C2844315,ENG,P,L9401230,PF,S11651635,N,A17843547,,,S52.044B,ICD10CM,PT,S52.044B,"Nondisplaced fracture of coronoid process of right ulna, initial encounter for open fracture type I or II",4,N,,,['Injury or Poisoning'],S52044B,S52.044B,45559161
C2844326,ENG,P,L9360450,PF,S11651639,N,A17818068,,,S52.044P,ICD10CM,PT,S52.044P,"Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52044P,S52.044P,45602687
C2844338,ENG,P,L9370808,PF,S11651625,N,A17792327,,,S52.045H,ICD10CM,PT,S52.045H,"Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with delayed healing",4,N,,,['Injury or Poisoning'],S52045H,S52.045H,45535143
C2844346,ENG,P,L9411582,PF,S11651620,Y,A17856173,,,S52.045S,ICD10CM,PT,S52.045S,"Nondisplaced fracture of coronoid process of left ulna, sequela",4,N,,,['Injury or Poisoning'],S52045S,S52.045S,45544840
C2844354,ENG,P,L9360456,PF,S11651655,N,A17830870,,,S52.046G,ICD10CM,PT,S52.046G,"Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52046G,S52.046G,45549667
C2844359,ENG,P,L9391149,PF,S11651665,N,A17792330,,,S52.046N,ICD10CM,PT,S52.046N,"Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52046N,S52.046N,45535146
C2844360,ENG,P,L9370813,PF,S11651656,N,A17792331,,,S52.046P,ICD10CM,PT,S52.046P,"Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52046P,S52.046P,45588208
C2844364,ENG,P,L9361577,PF,S11660447,Y,A17792332,,,S52.09,ICD10CM,HT,S52.09,Other fracture of upper end of ulna,4,N,256.0,,['Injury or Poisoning'],S5209,S52.09,1573130
C2844379,ENG,P,L9402309,PF,S11660439,Y,A17830875,,,S52.091Q,ICD10CM,PT,S52.091Q,"Other fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with malunion",4,N,,,['Injury or Poisoning'],S52091Q,S52.091Q,45535148
C2844383,ENG,P,L9392137,PF,S11660378,N,A17792336,,,S52.092A,ICD10CM,PT,S52.092A,"Other fracture of upper end of left ulna, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52092A,S52.092A,45559168
C2844389,ENG,P,L9412663,PF,S11660382,Y,A17779612,,,S52.092G,ICD10CM,PT,S52.092G,"Other fracture of upper end of left ulna, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52092G,S52.092G,45588210
C2844394,ENG,P,L9392141,PF,S11660392,N,A17869060,,,S52.092N,ICD10CM,PT,S52.092N,"Other fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52092N,S52.092N,45535149
C2844400,ENG,P,L9412673,PF,S11660465,N,A17792338,,,S52.099A,ICD10CM,PT,S52.099A,"Other fracture of upper end of unspecified ulna, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52099A,S52.099A,45573736
C2844411,ENG,P,L9392154,PF,S11660479,N,A17843561,,,S52.099N,ICD10CM,PT,S52.099N,"Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52099N,S52.099N,45588212
C2844415,ENG,P,L9371899,PF,S11660468,N,A17843562,,,S52.099S,ICD10CM,PT,S52.099S,"Other fracture of upper end of unspecified ulna, sequela",4,N,,,['Injury or Poisoning'],S52099S,S52.099S,45578477
C2844432,ENG,P,L9365184,PF,S11690325,Y,A17830882,,,S52.101R,ICD10CM,PT,S52.101R,"Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",4,N,,,['Injury or Poisoning'],S52101R,S52.101R,45602696
C2844438,ENG,P,L9375467,PF,S11690259,Y,A17843566,,,S52.102D,ICD10CM,PT,S52.102D,"Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52102D,S52.102D,45568822
C2844440,ENG,P,L9385687,PF,S11690267,N,A17818080,,,S52.102F,ICD10CM,PT,S52.102F,"Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",4,N,,,['Injury or Poisoning'],S52102F,S52.102F,45540033
C2844450,ENG,P,L9375465,PF,S11690255,N,A17843567,,,S52.102S,ICD10CM,PT,S52.102S,"Unspecified fracture of upper end of left radius, sequela",4,N,,,['Injury or Poisoning'],S52102S,S52.102S,45544845
C2844466,ENG,P,L9385704,PF,S11690386,N,A17843569,,,S52.109R,ICD10CM,PT,S52.109R,"Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",4,N,,,['Injury or Poisoning'],S52109R,S52.109R,45559173
C2844470,ENG,P,L9364328,PF,S11683492,N,A17792348,,,S52.111A,ICD10CM,PT,S52.111A,"Torus fracture of upper end of right radius, initial encounter for closed fracture",4,N,,,['Injury or Poisoning'],S52111A,S52.111A,45549672
C2844479,ENG,P,L10355858,PF,S12955672,Y,A20110380,,,S52.112G,ICD10CM,PT,S52.112G,"Torus fracture of upper end of left radius, subsequent encounter for fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52112G,S52.112G,45568825
C2844480,ENG,P,L10384155,PF,S12955674,Y,A20101425,,,S52.112K,ICD10CM,PT,S52.112K,"Torus fracture of upper end of left radius, subsequent encounter for fracture with nonunion",4,N,,,['Injury or Poisoning'],S52112K,S52.112K,45549673
C2844486,ENG,P,L10389906,PF,S12955716,Y,A20110381,,,S52.119G,ICD10CM,PT,S52.119G,"Torus fracture of upper end of unspecified radius, subsequent encounter for fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52119G,S52.119G,45607506
C2844490,ENG,P,L9398590,VC,S11628841,Y,A17792351,,,S52.121,ICD10CM,HT,S52.121,Displaced fracture of head of right radius,4,N,256.0,,['Injury or Poisoning'],S52121,S52.121,12842
C2844494,ENG,P,L9408807,PF,S11628832,N,A17779623,,,S52.121D,ICD10CM,PT,S52.121D,"Displaced fracture of head of right radius, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52121D,S52.121D,45535158
C2844497,ENG,P,L9378404,PF,S11628829,N,A17856195,,,S52.121G,ICD10CM,PT,S52.121G,"Displaced fracture of head of right radius, subsequent encounter for closed fracture with delayed healing",4,N,,,['Injury or Poisoning'],S52121G,S52.121G,45535159
C2844502,ENG,P,L9378405,PF,S11628839,N,A17792352,,,S52.121N,ICD10CM,PT,S52.121N,"Displaced fracture of head of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",4,N,,,['Injury or Poisoning'],S52121N,S52.121N,45588218
C2844512,ENG,P,L9368077,PF,S11628819,N,A17830887,,,S52.122E,ICD10CM,PT,S52.122E,"Displaced fracture of head of left radius, subsequent encounter for open fracture type I or II with routine healing",4,N,,,['Injury or Poisoning'],S52122E,S52.122E,45535160
C2844513,ENG,P,L9388537,PF,S11628823,N,A17779624,,,S52.122F,ICD10CM,PT,S52.122F,"Displaced fracture of head of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",4,N,,,['Injury or Poisoning'],S52122F,S52.122F,45607511
