code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
C04.9,ICD10CM,"Malignant neoplasm of floor of mouth, unspecified",35206070,canc,"Malignant neoplasm of floor of mouth, unspecified",Condition,C04.9,Condition,4-char billing code,ICD10CM,135750,Primary malignant neoplasm of floor of mouth,Condition,93802007,Disorder,SNOMED
C05.0,ICD10CM,Malignant neoplasm of hard palate,35206071,canc,Malignant neoplasm of hard palate,Condition,C05.0,Condition,4-char billing code,ICD10CM,438694,Primary malignant neoplasm of hard palate,Condition,371991005,Disorder,SNOMED
C05.1,ICD10CM,Malignant neoplasm of soft palate,35206072,canc,Malignant neoplasm of soft palate,Condition,C05.1,Condition,4-char billing code,ICD10CM,254282,Primary malignant neoplasm of soft palate,Condition,94049001,Disorder,SNOMED
C05.2,ICD10CM,Malignant neoplasm of uvula,35206073,canc,Malignant neoplasm of uvula,Condition,C05.2,Condition,4-char billing code,ICD10CM,434285,Primary malignant neoplasm of uvula,Condition,94129007,Disorder,SNOMED
C05.8,ICD10CM,Malignant neoplasm of overlapping sites of palate,35206074,canc,Malignant neoplasm of overlapping sites of palate,Condition,C05.8,Condition,4-char billing code,ICD10CM,4001170,Overlapping malignant neoplasm of palate,Condition,109831001,Disorder,SNOMED
C05.9,ICD10CM,"Malignant neoplasm of palate, unspecified",35206075,canc,"Malignant neoplasm of palate, unspecified",Condition,C05.9,Condition,4-char billing code,ICD10CM,134290,Primary malignant neoplasm of palate,Condition,372002009,Disorder,SNOMED
C06.0,ICD10CM,Malignant neoplasm of cheek mucosa,35206076,canc,Malignant neoplasm of cheek mucosa,Condition,C06.0,Condition,4-char billing code,ICD10CM,134579,Primary malignant neoplasm of buccal mucosa,Condition,371976008,Disorder,SNOMED
C06.1,ICD10CM,Malignant neoplasm of vestibule of mouth,35206077,canc,Malignant neoplasm of vestibule of mouth,Condition,C06.1,Condition,4-char billing code,ICD10CM,261808,Primary malignant neoplasm of vestibule of mouth,Condition,94138009,Disorder,SNOMED
C06.2,ICD10CM,Malignant neoplasm of retromolar area,35206078,canc,Malignant neoplasm of retromolar area,Condition,C06.2,Condition,4-char billing code,ICD10CM,433704,Primary malignant neoplasm of retromolar area,Condition,93989001,Disorder,SNOMED
C06.80,ICD10CM,Malignant neoplasm of overlapping sites of unspecified parts of mouth,45537790,canc,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Condition,C06.80,Condition,5-char billing code,ICD10CM,140955,Overlapping malignant neoplasm of floor of mouth,Condition,109830000,Disorder,SNOMED
C06.89,ICD10CM,Malignant neoplasm of overlapping sites of other parts of mouth,45561783,canc,Malignant neoplasm of overlapping sites of other parts of mouth,Condition,C06.89,Condition,5-char billing code,ICD10CM,140955,Overlapping malignant neoplasm of floor of mouth,Condition,109830000,Disorder,SNOMED
C06.9,ICD10CM,"Malignant neoplasm of mouth, unspecified",35206079,canc,"Malignant neoplasm of mouth, unspecified",Condition,C06.9,Condition,4-char billing code,ICD10CM,439404,Primary malignant neoplasm of oral cavity,Condition,372001002,Disorder,SNOMED
C07,ICD10CM,Malignant neoplasm of parotid gland,35206080,canc,Malignant neoplasm of parotid gland,Condition,C07,Condition,3-char billing code,ICD10CM,434588,Primary malignant neoplasm of parotid gland,Condition,372004005,Disorder,SNOMED
C08.0,ICD10CM,Malignant neoplasm of submandibular gland,35206081,canc,Malignant neoplasm of submandibular gland,Condition,C08.0,Condition,4-char billing code,ICD10CM,4247836,Primary malignant neoplasm of major salivary gland,Condition,93883004,Disorder,SNOMED
C08.1,ICD10CM,Malignant neoplasm of sublingual gland,35206082,canc,Malignant neoplasm of sublingual gland,Condition,C08.1,Condition,4-char billing code,ICD10CM,439738,Primary malignant neoplasm of sublingual gland,Condition,94076001,Disorder,SNOMED
C08.9,ICD10CM,"Malignant neoplasm of major salivary gland, unspecified",35206083,canc,"Malignant neoplasm of major salivary gland, unspecified",Condition,C08.9,Condition,4-char billing code,ICD10CM,4247836,Primary malignant neoplasm of major salivary gland,Condition,93883004,Disorder,SNOMED
C09.0,ICD10CM,Malignant neoplasm of tonsillar fossa,35206084,canc,Malignant neoplasm of tonsillar fossa,Condition,C09.0,Condition,4-char billing code,ICD10CM,433709,Primary malignant neoplasm of tonsillar fossa,Condition,94102002,Disorder,SNOMED
C09.1,ICD10CM,Malignant neoplasm of tonsillar pillar (anterior) (posterior),35206085,canc,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Condition,C09.1,Condition,4-char billing code,ICD10CM,440047,Primary malignant neoplasm of tonsillar pillar,Condition,94103007,Disorder,SNOMED
C09.8,ICD10CM,Malignant neoplasm of overlapping sites of tonsil,35206086,canc,Malignant neoplasm of overlapping sites of tonsil,Condition,C09.8,Condition,4-char billing code,ICD10CM,4002498,Overlapping malignant neoplasm of tonsil,Condition,110013004,Disorder,SNOMED
C09.9,ICD10CM,"Malignant neoplasm of tonsil, unspecified",35206087,canc,"Malignant neoplasm of tonsil, unspecified",Condition,C09.9,Condition,4-char billing code,ICD10CM,31509,Primary malignant neoplasm of tonsil,Condition,372020000,Disorder,SNOMED
C10.0,ICD10CM,Malignant neoplasm of vallecula,35206088,canc,Malignant neoplasm of vallecula,Condition,C10.0,Condition,4-char billing code,ICD10CM,438360,Primary malignant neoplasm of vallecula,Condition,94132005,Disorder,SNOMED
C10.1,ICD10CM,Malignant neoplasm of anterior surface of epiglottis,35206089,canc,Malignant neoplasm of anterior surface of epiglottis,Condition,C10.1,Condition,4-char billing code,ICD10CM,436643,Primary malignant neoplasm of anterior aspect of epiglottis,Condition,93670003,Disorder,SNOMED
C10.2,ICD10CM,Malignant neoplasm of lateral wall of oropharynx,35206090,canc,Malignant neoplasm of lateral wall of oropharynx,Condition,C10.2,Condition,4-char billing code,ICD10CM,440345,Primary malignant neoplasm of lateral wall of oropharynx,Condition,93862005,Disorder,SNOMED
C10.3,ICD10CM,Malignant neoplasm of posterior wall of oropharynx,35206091,canc,Malignant neoplasm of posterior wall of oropharynx,Condition,C10.3,Condition,4-char billing code,ICD10CM,439739,Primary malignant neoplasm of posterior wall of oropharynx,Condition,93971002,Disorder,SNOMED
C10.4,ICD10CM,Malignant neoplasm of branchial cleft,35206092,canc,Malignant neoplasm of branchial cleft,Condition,C10.4,Condition,4-char billing code,ICD10CM,4003674,Primary malignant neoplasm of branchial cleft,Condition,109834009,Disorder,SNOMED
C10.8,ICD10CM,Malignant neoplasm of overlapping sites of oropharynx,35206093,canc,Malignant neoplasm of overlapping sites of oropharynx,Condition,C10.8,Condition,4-char billing code,ICD10CM,438691,Overlapping malignant neoplasm of oropharynx,Condition,109832008,Disorder,SNOMED
C10.9,ICD10CM,"Malignant neoplasm of oropharynx, unspecified",35206094,canc,"Malignant neoplasm of oropharynx, unspecified",Condition,C10.9,Condition,4-char billing code,ICD10CM,432833,Primary malignant neoplasm of oropharynx,Condition,93933005,Disorder,SNOMED
C11.0,ICD10CM,Malignant neoplasm of superior wall of nasopharynx,35206095,canc,Malignant neoplasm of superior wall of nasopharynx,Condition,C11.0,Condition,4-char billing code,ICD10CM,441223,Primary malignant neoplasm of superior wall of nasopharynx,Condition,94078000,Disorder,SNOMED
C11.1,ICD10CM,Malignant neoplasm of posterior wall of nasopharynx,35206096,canc,Malignant neoplasm of posterior wall of nasopharynx,Condition,C11.1,Condition,4-char billing code,ICD10CM,436344,Primary malignant neoplasm of posterior wall of nasopharynx,Condition,93970001,Disorder,SNOMED
C11.2,ICD10CM,Malignant neoplasm of lateral wall of nasopharynx,35206097,canc,Malignant neoplasm of lateral wall of nasopharynx,Condition,C11.2,Condition,4-char billing code,ICD10CM,438692,Primary malignant neoplasm of lateral wall of nasopharynx,Condition,93861003,Disorder,SNOMED
