code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
F10.159,ICD10CM,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",45571707,alcohol,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",Condition,F10.159,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.159,ICD10CM,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",45571707,alcohol,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",Condition,F10.159,Condition,6-char billing code,ICD10CM,37164773,Psychosis caused by ethanol,Condition,1231846001,Disorder,SNOMED
F10.180,ICD10CM,Alcohol abuse with alcohol-induced anxiety disorder,45600693,alcohol,Alcohol abuse with alcohol-induced anxiety disorder,Condition,F10.180,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.180,ICD10CM,Alcohol abuse with alcohol-induced anxiety disorder,45600693,alcohol,Alcohol abuse with alcohol-induced anxiety disorder,Condition,F10.180,Condition,6-char billing code,ICD10CM,4146660,Anxiety disorder caused by alcohol,Condition,34938008,Disorder,SNOMED
F10.181,ICD10CM,Alcohol abuse with alcohol-induced sexual dysfunction,45600694,alcohol,Alcohol abuse with alcohol-induced sexual dysfunction,Condition,F10.181,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.181,ICD10CM,Alcohol abuse with alcohol-induced sexual dysfunction,45600694,alcohol,Alcohol abuse with alcohol-induced sexual dysfunction,Condition,F10.181,Condition,6-char billing code,ICD10CM,4302744,Alcohol-induced sexual dysfunction,Observation,78524005,Clinical Finding,SNOMED
F10.182,ICD10CM,Alcohol abuse with alcohol-induced sleep disorder,45538006,alcohol,Alcohol abuse with alcohol-induced sleep disorder,Condition,F10.182,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.182,ICD10CM,Alcohol abuse with alcohol-induced sleep disorder,45538006,alcohol,Alcohol abuse with alcohol-induced sleep disorder,Condition,F10.182,Condition,6-char billing code,ICD10CM,37164786,Sleep disorder caused by ethanol,Condition,1234776000,Disorder,SNOMED
F10.188,ICD10CM,Alcohol abuse with other alcohol-induced disorder,45576494,alcohol,Alcohol abuse with other alcohol-induced disorder,Condition,F10.188,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.19,ICD10CM,Alcohol abuse with unspecified alcohol-induced disorder,45576495,alcohol,Alcohol abuse with unspecified alcohol-induced disorder,Condition,F10.19,Condition,5-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
