CUI,CODE,STR,PREFIX_CODE
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W19
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W20
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W21
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W22
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W23
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W24
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W25
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W26
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W27
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W28
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W29
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W30
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W31
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W32
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W33
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W34
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W35
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W36
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W37
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W38
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W39
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W40
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W41
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W42
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W43
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W44
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W45
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W46
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W47
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W48
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W49
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W50
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W51
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W52
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W53
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W54
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W55
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W56
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W57
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W58
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W59
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W60
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W61
C2891384,V00-Y99,External causes of morbidity (V00-Y99),W62
