CUI,CODE,STR
C0154725,G89-G99,Other disorders of the nervous system (G89-G99)
C0348508,H00-H05,"Disorders of eyelid, lacrimal system and orbit (H00-H05)"
C1314803,H00-H59,Diseases of the eye and adnexa (H00-H59)
C0009759,H10-H11,Disorders of conjunctiva (H10-H11)
C0348525,H15-H22,"Disorders of sclera, cornea, iris and ciliary body (H15-H22)"
C0023308,H25-H28,Disorders of lens (H25-H28)
C0271022,H30-H36,Disorders of choroid and retina (H30-H36)
C0017601,H40-H42,Glaucoma (H40-H42)
C0348558,H43-H44,Disorders of vitreous body and globe (H43-H44)
C1533675,H46-H47,Disorders of optic nerve and visual pathways (H46-H47)
C0348566,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction (H49-H52)"
C0348570,H53-H54,Visual disturbances and blindness (H53-H54)
C2976969,H55-H57,Other disorders of eye and adnexa (H55-H57)
C2976970,H59-H59,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified (H59)"
C0155388,H60-H62,Diseases of external ear (H60-H62)
C0178269,H60-H95,Diseases of the ear and mastoid process (H60-H95)
C0477442,H65-H75,Diseases of middle ear and mastoid (H65-H75)
C0494559,H80-H83,Diseases of inner ear (H80-H83)
C2976971,H90-H94,Other disorders of ear (H90-H94)
C2976972,H95-H95,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified (H95)"
C0035436,I00-I02,Acute rheumatic fever (I00-I02)
C0728936,I00-I99,Diseases of the circulatory system (I00-I99)
C0175708,I05-I09,Chronic rheumatic heart diseases (I05-I09)
C5819690,I10-I1A,Hypertensive diseases (I10-I1A)
C0151744,I20-I25,Ischemic heart diseases (I20-I25)
C0700195,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation (I26-I28)
C5539397,I30-I5A,Other forms of heart disease (I30-I5A)
C0007820,I60-I69,Cerebrovascular diseases (I60-I69)
C0178274,I70-I79,"Diseases of arteries, arterioles and capillaries (I70-I79)"
C0869055,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)"
C0348668,I95-I99,Other and unspecified disorders of the circulatory system (I95-I99)
C0264222,J00-J06,Acute upper respiratory infections (J00-J06)
C0035204,J00-J99,Diseases of the respiratory system (J00-J99)
C0155870,J09-J18,Influenza and pneumonia (J09-J18)
C0348686,J20-J22,Other acute lower respiratory infections (J20-J22)
C0155839,J30-J39,Other diseases of upper respiratory tract (J30-J39)
C5819691,J40-J4A,Chronic lower respiratory diseases (J40-J4A)
C0340139,J60-J70,Lung diseases due to external agents (J60-J70)
C0348702,J80-J84,Other respiratory diseases principally affecting the interstitium (J80-J84)
C0348705,J85-J86,Suppurative and necrotic conditions of the lower respiratory tract (J85-J86)
C0348706,J90-J94,Other diseases of the pleura (J90-J94)
C2887491,J95-J95,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified (J95)"
C0029582,J96-J99,Other diseases of the respiratory system (J96-J99)
C0266988,K00-K14,Diseases of oral cavity and salivary glands (K00-K14)
C3264408,K00-K95,Diseases of the digestive system (K00-K95)
C0178281,K20-K31,"Diseases of esophagus, stomach and duodenum (K20-K31)"
C0267613,K35-K38,Diseases of appendix (K35-K38)
C0019270,K40-K46,Hernia (K40-K46)
C0178283,K50-K52,Noninfective enteritis and colitis (K50-K52)
C3264446,K55-K64,Other diseases of intestines (K55-K64)
C2887904,K65-K68,Diseases of peritoneum and retroperitoneum (K65-K68)
C0023895,K70-K77,Diseases of liver (K70-K77)
C0348756,K80-K87,"Disorders of gallbladder, biliary tract and pancreas (K80-K87)"
C3264461,K90-K95,Other diseases of the digestive system (K90-K95)
C5551358,L00-L08,Infections of the skin and subcutaneous tissue (L00-L08)
C0178298,L00-L99,Diseases of the skin and subcutaneous tissue (L00-L99)
C0085932,L10-L14,Bullous disorders (L10-L14)
C0477474,L20-L30,Dermatitis and eczema (L20-L30)
C0162818,L40-L45,Papulosquamous disorders (L40-L45)
C0477490,L49-L54,Urticaria and erythema (L49-L54)
C0477501,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue (L55-L59)
C0037272,L60-L75,Disorders of skin appendages (L60-L75)
C2888187,L76-L76,Intraoperative and postprocedural complications of skin and subcutaneous tissue (L76)
C0178301,L80-L99,Other disorders of the skin and subcutaneous tissue (L80-L99)
C0157749,M00-M02,Infectious arthropathies (M00-M02)
C4268688,M00-M25,Arthropathies (M00-M25)
C0263660,M00-M99,Diseases of the musculoskeletal system and connective tissue (M00-M99)
C4268689,M04-M04,Autoinflammatory syndromes (M04)
C0162323,M05-M14,Inflammatory polyarthropathies (M05-M14)
C0029408,M15-M19,Osteoarthritis (M15-M19)
C1442831,M20-M25,Other joint disorders (M20-M25)
C2895129,M26-M27,Dentofacial anomalies [including malocclusion] and other disorders of jaw (M26-M27)
C0477583,M30-M36,Systemic connective tissue disorders (M30-M36)
C0477599,M40-M43,Deforming dorsopathies (M40-M43)
C4268715,M40-M54,Dorsopathies (M40-M54)
C0037933,M45-M49,Spondylopathies (M45-M49)
C0477621,M50-M54,Other dorsopathies (M50-M54)
C0026848,M60-M63,Disorders of muscles (M60-M63)
C4268740,M60-M79,Soft tissue disorders (M60-M79)
C0477645,M65-M67,Disorders of synovium and tendon (M65-M67)
C0158370,M70-M79,Other soft tissue disorders (M70-M79)
C0477681,M80-M85,Disorders of bone density and structure (M80-M85)
C4268742,M80-M94,Osteopathies and chondropathies (M80-M94)
C0477682,M86-M90,Other osteopathies (M86-M90)
C0007302,M91-M94,Chondropathies (M91-M94)
C0477705,M95-M95,Other disorders of the musculoskeletal system and connective tissue (M95)
C2902725,M96-M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified (M96)"
C4268823,M97-M97,Periprosthetic fracture around internal prosthetic joint (M97)
C0868884,M99-M99,"Biomechanical lesions, not elsewhere classified (M99)"
C0268731,N00-N08,Glomerular diseases (N00-N08)
C0080276,N00-N99,Diseases of the genitourinary system (N00-N99)
C0041349,N10-N16,Renal tubulo-interstitial diseases (N10-N16)
C2902950,N17-N19,Acute kidney failure and chronic kidney disease (N17-N19)
C0451641,N20-N23,Urolithiasis (N20-N23)
C0156258,N25-N29,Other disorders of kidney and ureter (N25-N29)
C0178288,N30-N39,Other diseases of the urinary system (N30-N39)
C2977265,N40-N53,Diseases of male genital organs (N40-N53)
C0006145,N60-N65,Disorders of breast (N60-N65)
C0242172,N70-N77,Inflammatory diseases of female pelvic organs (N70-N77)
C0269150,N80-N98,Noninflammatory disorders of female genital tract (N80-N98)
