CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C2869769,ENG,P,L9352022,PF,S11666824,N,A17808364,,,S98.021D,ICD10CM,PT,S98.021D,"Partial traumatic amputation of right foot at ankle level, subsequent encounter",4,N,,,['Injury or Poisoning'],S98,S98021D,S98.021D,45565272,Condition
C2869773,ENG,P,L9383014,PF,S11666745,N,A17795434,,,S98.022D,ICD10CM,PT,S98.022D,"Partial traumatic amputation of left foot at ankle level, subsequent encounter",4,N,,,['Injury or Poisoning'],S98,S98022D,S98.022D,45550886,Condition
C2869778,ENG,P,L9594137,PF,S12056547,N,A18925177,,,S98.029S,ICD10CM,PT,S98.029S,"Partial traumatic amputation of unspecified foot at ankle level, sequela",4,N,,,['Injury or Poisoning'],S98,S98029S,S98.029S,45555687,Condition
C2869791,ENG,P,L9596067,PF,S12053846,N,A18922542,,,S98.119S,ICD10CM,PT,S98.119S,"Complete traumatic amputation of unspecified great toe, sequela",4,N,,,['Injury or Poisoning'],S98,S98119S,S98.119S,45603998,Condition
C2869795,ENG,P,L9352024,PF,S11666836,Y,A17859213,,,S98.121D,ICD10CM,PT,S98.121D,"Partial traumatic amputation of right great toe, subsequent encounter",4,N,,,['Injury or Poisoning'],S98,S98121D,S98.121D,45599162,Condition
C2869802,ENG,P,L9594139,PF,S12056554,Y,A18912079,,,S98.129A,ICD10CM,PT,S98.129A,"Partial traumatic amputation of unspecified great toe, initial encounter",4,N,,,['Injury or Poisoning'],S98,S98129A,S98.129A,45570121,Condition
C2869817,ENG,P,L9596573,PF,S12053818,Y,A18922545,,,S98.139S,ICD10CM,PT,S98.139S,"Complete traumatic amputation of one unspecified lesser toe, sequela",4,N,,,['Injury or Poisoning'],S98,S98139S,S98.139S,45589497,Condition
C2869826,ENG,P,L9392912,PF,S12056519,Y,A18914730,,,S98.142S,ICD10CM,PT,S98.142S,"Partial traumatic amputation of one left lesser toe, sequela",4,N,,,['Injury or Poisoning'],S98,S98142S,S98.142S,45570124,Condition
C2869830,ENG,P,L9595798,PF,S12056527,Y,A18925179,,,S98.149S,ICD10CM,PT,S98.149S,"Partial traumatic amputation of one unspecified lesser toe, sequela",4,N,,,['Injury or Poisoning'],S98,S98149S,S98.149S,45550892,Condition
C2869836,ENG,P,L9356786,PF,S12053830,Y,A18919952,,,S98.211S,ICD10CM,PT,S98.211S,"Complete traumatic amputation of two or more right lesser toes, sequela",4,N,,,['Injury or Poisoning'],S98,S98211S,S98.211S,45579818,Condition
C2869851,ENG,P,L9341876,PF,S12056534,Y,A18922549,,,S98.222A,ICD10CM,PT,S98.222A,"Partial traumatic amputation of two or more left lesser toes, initial encounter",4,N,,,['Injury or Poisoning'],S98,S98222A,S98.222A,45560426,Condition
C2869867,ENG,P,L9367168,PF,S11620915,N,A17833999,,,S98.312S,ICD10CM,PT,S98.312S,"Complete traumatic amputation of left midfoot, sequela",4,N,,,['Injury or Poisoning'],S98,S98312S,S98.312S,45575007,Condition
C2869878,ENG,P,L9392905,PF,S11666767,N,A17795442,,,S98.322A,ICD10CM,PT,S98.322A,"Partial traumatic amputation of left midfoot, initial encounter",4,N,,,['Injury or Poisoning'],S98,S98322A,S98.322A,45594344,Condition
C2869880,ENG,P,L9372667,PF,S11666768,N,A17808377,,,S98.322S,ICD10CM,PT,S98.322S,"Partial traumatic amputation of left midfoot, sequela",4,N,,,['Injury or Poisoning'],S98,S98322S,S98.322S,45546083,Condition
C2869888,ENG,P,L9356776,PF,S11620975,Y,A17795444,,,S98.911D,ICD10CM,PT,S98.911D,"Complete traumatic amputation of right foot, level unspecified, subsequent encounter",4,N,,,['Injury or Poisoning'],S98,S98911D,S98.911D,45604002,Condition
C2869893,ENG,P,L9367166,PF,S11620895,N,A17782784,,,S98.912S,ICD10CM,PT,S98.912S,"Complete traumatic amputation of left foot, level unspecified, sequela",4,N,,,['Injury or Poisoning'],S98,S98912S,S98.912S,45584639,Condition
C2869896,ENG,P,L9596574,PF,S12053843,Y,A18919956,,,S98.919D,ICD10CM,PT,S98.919D,"Complete traumatic amputation of unspecified foot, level unspecified, subsequent encounter",4,N,,,['Injury or Poisoning'],S98,S98919D,S98.919D,45594345,Condition
C2869922,ENG,P,L9596830,PF,S12056058,Y,A18919958,,,S99.819D,ICD10CM,PT,S99.819D,"Other specified injuries of unspecified ankle, subsequent encounter",4,N,,,['Injury or Poisoning'],S99,S99819D,S99.819D,45550896,Condition
C2869949,ENG,P,L9593185,PF,S12057934,N,A18925188,,,S99.919S,ICD10CM,PT,S99.919S,"Unspecified injury of unspecified ankle, sequela",4,N,,,['Injury or Poisoning'],S99,S99919S,S99.919S,45608746,Condition
C2869957,ENG,P,L9354940,PF,S11691188,N,A17834019,,,S99.922D,ICD10CM,PT,S99.922D,"Unspecified injury of left foot, subsequent encounter",4,N,,,['Injury or Poisoning'],S99,S99922D,S99.922D,45579822,Condition
C2869962,ENG,P,L9594853,PF,S12057950,N,A18917379,,,S99.929S,ICD10CM,PT,S99.929S,"Unspecified injury of unspecified foot, sequela",4,N,,,['Injury or Poisoning'],S99,S99929S,S99.929S,45604006,Condition
C2869967,ENG,P,L9369092,PF,S11637068,Y,A18914744,,,T15.00XS,ICD10CM,PT,T15.00XS,"Foreign body in cornea, unspecified eye, sequela",4,N,,,['Injury or Poisoning'],T15,T1500XS,T15.00XS,45565289,Condition
C2869969,ENG,P,L9389507,PF,S11637063,Y,A18909467,,,T15.01XA,ICD10CM,PT,T15.01XA,"Foreign body in cornea, right eye, initial encounter",4,N,,,['Injury or Poisoning'],T15,T1501XA,T15.01XA,45604015,Condition
C2869970,ENG,P,L9358727,PF,S11637065,Y,A18919963,,,T15.01XD,ICD10CM,PT,T15.01XD,"Foreign body in cornea, right eye, subsequent encounter",4,N,,,['Injury or Poisoning'],T15,T1501XD,T15.01XD,45536467,Condition
C2869977,ENG,P,L9369090,PF,S11637057,Y,A18909468,,,T15.10XD,ICD10CM,PT,T15.10XD,"Foreign body in conjunctival sac, unspecified eye, subsequent encounter",4,N,,,['Injury or Poisoning'],T15,T1510XD,T15.10XD,45589509,Condition
C2869992,ENG,P,L9399553,PF,S11637097,Y,A18912090,,,T15.81XS,ICD10CM,PT,T15.81XS,"Foreign body in other and multiple parts of external eye, right eye, sequela",4,N,,,['Injury or Poisoning'],T15,T1581XS,T15.81XS,45546091,Condition
C2870000,ENG,P,L9389516,PF,S11637149,Y,A18922563,,,T15.90XS,ICD10CM,PT,T15.90XS,"Foreign body on external eye, part unspecified, unspecified eye, sequela",4,N,,,['Injury or Poisoning'],T15,T1590XS,T15.90XS,45541250,Condition
C2870007,ENG,P,L9409851,PF,S11637142,Y,A18914748,,,T15.92XD,ICD10CM,PT,T15.92XD,"Foreign body on external eye, part unspecified, left eye, subsequent encounter",4,N,,,['Injury or Poisoning'],T15,T1592XD,T15.92XD,45604020,Condition
C2870039,ENG,P,L9409971,PF,S11638236,Y,A17872118,,,T17.210D,ICD10CM,PT,T17.210D,"Gastric contents in pharynx causing asphyxiation, subsequent encounter",4,N,,,['Injury or Poisoning'],T17,T17210D,T17.210D,45565294,Observation
C2870043,ENG,P,L9389630,PF,S11638240,Y,A17846788,,,T17.218D,ICD10CM,PT,T17.218D,"Gastric contents in pharynx causing other injury, subsequent encounter",4,N,,,['Injury or Poisoning'],T17,T17218D,T17.218D,45579834,Observation
C2870061,ENG,P,L9402142,PF,S11659215,Y,A17821276,,,T17.298A,ICD10CM,PT,T17.298A,"Other foreign object in pharynx causing other injury, initial encounter",4,N,,,['Injury or Poisoning'],T17,T17298A,T17.298A,45570146,Condition
C2870067,ENG,P,L9395503,PF,S11688943,Y,A17782807,,,T17.300D,ICD10CM,PT,T17.300D,"Unspecified foreign body in larynx causing asphyxiation, subsequent encounter",4,N,,,['Injury or Poisoning'],T17,T17300D,T17.300D,45589513,Condition
C2870082,ENG,P,L9389628,PF,S11638222,Y,A17834043,,,T17.318D,ICD10CM,PT,T17.318D,"Gastric contents in larynx causing other injury, subsequent encounter",4,N,,,['Injury or Poisoning'],T17,T17318D,T17.318D,45555711,Condition
C2870092,ENG,P,L9369070,PF,S11636931,Y,A17821279,,,T17.328A,ICD10CM,PT,T17.328A,"Food in larynx causing other injury, initial encounter",4,N,,,['Injury or Poisoning'],T17,T17328A,T17.328A,45541253,Condition
C2870094,ENG,P,L9358713,PF,S11636932,Y,A17872125,,,T17.328S,ICD10CM,PT,T17.328S,"Food in larynx causing other injury, sequela",4,N,,,['Injury or Poisoning'],T17,T17328S,T17.328S,45555712,Condition
C2870123,ENG,P,L9399685,PF,S11638257,Y,A17834049,,,T17.418S,ICD10CM,PT,T17.418S,"Gastric contents in trachea causing other injury, sequela",4,N,,,['Injury or Poisoning'],T17,T17418S,T17.418S,45594366,Condition
C2870128,ENG,P,L9379367,PF,S11636963,Y,A17808410,,,T17.420A,ICD10CM,PT,T17.420A,"Food in trachea causing asphyxiation, initial encounter",4,N,,,['Injury or Poisoning'],T17,T17420A,T17.420A,45560438,Condition
C2870147,ENG,P,L9385515,PF,S11688924,Y,A17808414,,,T17.500D,ICD10CM,PT,T17.500D,"Unspecified foreign body in bronchus causing asphyxiation, subsequent encounter",4,N,,,['Injury or Poisoning'],T17,T17500D,T17.500D,45550913,Condition
C2870148,ENG,P,L9344465,PF,S11688923,Y,A17846801,,,T17.500S,ICD10CM,PT,T17.500S,"Unspecified foreign body in bronchus causing asphyxiation, sequela",4,N,,,['Injury or Poisoning'],T17,T17500S,T17.500S,45536478,Condition
C2870157,ENG,P,L9369226,PF,S11638197,Y,A17795483,,,T17.510A,ICD10CM,PT,T17.510A,"Gastric contents in bronchus causing asphyxiation, initial encounter",4,N,,,['Injury or Poisoning'],T17,T17510A,T17.510A,45604026,Condition
C2870178,ENG,P,L9340943,PF,S11659177,Y,A17846805,,,T17.590D,ICD10CM,PT,T17.590D,"Other foreign object in bronchus causing asphyxiation, subsequent encounter",4,N,,,['Injury or Poisoning'],T17,T17590D,T17.590D,45550916,Condition
C2870259,ENG,P,L9371738,PF,S11659226,Y,A17808431,,,T17.990D,ICD10CM,PT,T17.990D,"Other foreign object in respiratory tract, part unspecified in causing asphyxiation, subsequent encounter",4,N,,,['Injury or Poisoning'],T17,T17990D,T17.990D,45579840,Condition
C2870275,ENG,P,L9395501,PF,S11688936,Y,A17834065,,,T18.108A,ICD10CM,PT,T18.108A,"Unspecified foreign body in esophagus causing other injury, initial encounter",4,N,,,['Injury or Poisoning'],T18,T18108A,T18.108A,45589521,Condition
C2870284,ENG,P,L9399682,PF,S11638207,Y,A17821301,,,T18.110S,ICD10CM,PT,T18.110S,"Gastric contents in esophagus causing compression of trachea, sequela",4,N,,,['Injury or Poisoning'],T18,T18110S,T18.110S,45604034,Condition
C2870315,ENG,P,L9379381,PF,S11637122,Y,A18922568,,,T18.3XXS,ICD10CM,PT,T18.3XXS,"Foreign body in small intestine, sequela",4,N,,,['Injury or Poisoning'],T18,T183XXS,T18.3XXS,45599189,Condition
C2870316,ENG,P,L9369087,PF,S11637044,Y,A18914756,,,T18.4XXA,ICD10CM,PT,T18.4XXA,"Foreign body in colon, initial encounter",4,N,,,['Injury or Poisoning'],T18,T184XXA,T18.4XXA,45565301,Condition
C2870320,ENG,P,L9358725,PF,S11637040,Y,A18925201,,,T18.5XXD,ICD10CM,PT,T18.5XXD,"Foreign body in anus and rectum, subsequent encounter",4,N,,,['Injury or Poisoning'],T18,T185XXD,T18.5XXD,45550923,Condition
C2870341,ENG,P,L9379379,PF,S11637113,Y,A18919968,,,T19.4XXA,ICD10CM,PT,T19.4XXA,"Foreign body in penis, initial encounter",4,N,,,['Injury or Poisoning'],T19,T194XXA,T19.4XXA,45560447,Condition
C2870385,ENG,P,L9407545,PF,S11618178,N,A18906816,,,T20.03XS,ICD10CM,PT,T20.03XS,"Burn of unspecified degree of chin, sequela",4,N,,,['Injury or Poisoning'],T20,T2003XS,T20.03XS,45579850,Condition
C2870387,ENG,P,L9387287,PF,S11618356,N,A18906817,,,T20.04XD,ICD10CM,PT,T20.04XD,"Burn of unspecified degree of nose (septum), subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2004XD,T20.04XD,45575036,Condition
C2870397,ENG,P,L9407565,PF,S11618352,N,A18925207,,,T20.07XS,ICD10CM,PT,T20.07XS,"Burn of unspecified degree of neck, sequela",4,N,,,['Injury or Poisoning'],T20,T2007XS,T20.07XS,45604040,Condition
C2870400,ENG,P,L9387278,PF,S11618298,Y,A18922578,,,T20.09XS,ICD10CM,PT,T20.09XS,"Burn of unspecified degree of multiple sites of head, face, and neck, sequela",4,N,,,['Injury or Poisoning'],T20,T2009XS,T20.09XS,45579851,Condition
C2870403,ENG,P,L9335953,PF,S11616887,Y,A18912100,,,T20.10XD,ICD10CM,PT,T20.10XD,"Burn of first degree of head, face, and neck, unspecified site, subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2010XD,T20.10XD,45546111,Condition
C2870408,ENG,P,L9407426,PF,S11617074,Y,A17859295,,,T20.111D,ICD10CM,PT,T20.111D,"Burn of first degree of right ear [any part, except ear drum], subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T20111D,T20.111D,45579853,Condition
C2870420,ENG,P,L9387136,PF,S11616962,N,A18925208,,,T20.12XS,ICD10CM,PT,T20.12XS,"Burn of first degree of lip(s), sequela",4,N,,,['Injury or Poisoning'],T20,T2012XS,T20.12XS,45575038,Condition
C2870441,ENG,P,L9397131,PF,S11616995,Y,A18919977,,,T20.19XS,ICD10CM,PT,T20.19XS,"Burn of first degree of multiple sites of head, face, and neck, sequela",4,N,,,['Injury or Poisoning'],T20,T2019XS,T20.19XS,45575041,Condition
C2870457,ENG,P,L9356399,PF,S11617639,N,A17795529,,,T20.219D,ICD10CM,PT,T20.219D,"Burn of second degree of unspecified ear [any part, except ear drum], subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T20219D,T20.219D,45555728,Condition
C2870461,ENG,P,L9356376,PF,S11617431,N,A18919978,,,T20.22XS,ICD10CM,PT,T20.22XS,"Burn of second degree of lip(s), sequela",4,N,,,['Injury or Poisoning'],T20,T2022XS,T20.22XS,45589527,Condition
C2870491,ENG,P,L9407521,PF,S11617965,N,A17795533,,,T20.311S,ICD10CM,PT,T20.311S,"Burn of third degree of right ear [any part, except ear drum], sequela",4,N,,,['Injury or Poisoning'],T20,T20311S,T20.311S,45536493,Condition
C2870495,ENG,P,L9377104,PF,S11617794,N,A17859304,,,T20.312S,ICD10CM,PT,T20.312S,"Burn of third degree of left ear [any part, except ear drum], sequela",4,N,,,['Injury or Poisoning'],T20,T20312S,T20.312S,45604045,Condition
C2870502,ENG,P,L9336056,PF,S11617854,N,A18909488,,,T20.32XS,ICD10CM,PT,T20.32XS,"Burn of third degree of lip(s), sequela",4,N,,,['Injury or Poisoning'],T20,T2032XS,T20.32XS,45541272,Condition
C2870504,ENG,P,L9397227,PF,S11617760,N,A18922585,,,T20.33XD,ICD10CM,PT,T20.33XD,"Burn of third degree of chin, subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2033XD,T20.33XD,45541273,Condition
C2870511,ENG,P,L9377125,PF,S11618024,N,A18909490,,,T20.35XA,ICD10CM,PT,T20.35XA,"Burn of third degree of scalp [any part], initial encounter",4,N,,,['Injury or Poisoning'],T20,T2035XA,T20.35XA,45536494,Condition
C2870514,ENG,P,L9387226,PF,S11617771,Y,A18912109,,,T20.36XA,ICD10CM,PT,T20.36XA,"Burn of third degree of forehead and cheek, initial encounter",4,N,,,['Injury or Poisoning'],T20,T2036XA,T20.36XA,45584669,Condition
C2870515,ENG,P,L9366810,PF,S11617773,Y,A18922586,,,T20.36XD,ICD10CM,PT,T20.36XD,"Burn of third degree of forehead and cheek, subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2036XD,T20.36XD,45570168,Condition
C2870519,ENG,P,L9346168,PF,S11617942,N,A18917400,,,T20.37XS,ICD10CM,PT,T20.37XS,"Burn of third degree of neck, sequela",4,N,,,['Injury or Poisoning'],T20,T2037XS,T20.37XS,45541274,Condition
C2870552,ENG,P,L9357242,PF,S11624820,N,A18922587,,,T20.44XD,ICD10CM,PT,T20.44XD,"Corrosion of unspecified degree of nose (septum), subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2044XD,T20.44XD,45608778,Condition
C2870567,ENG,P,L9336853,PF,S11624759,N,A18909494,,,T20.49XA,ICD10CM,PT,T20.49XA,"Corrosion of unspecified degree of multiple sites of head, face, and neck, initial encounter",4,N,,,['Injury or Poisoning'],T20,T2049XA,T20.49XA,45546124,Condition
C2870568,ENG,P,L9357236,PF,S11624761,N,A18906831,,,T20.49XD,ICD10CM,PT,T20.49XD,"Corrosion of unspecified degree of multiple sites of head, face, and neck, subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2049XD,T20.49XD,45541279,Condition
C2870595,ENG,P,L9336696,PF,S11623341,N,A18912115,,,T20.53XS,ICD10CM,PT,T20.53XS,"Corrosion of first degree of chin, sequela",4,N,,,['Injury or Poisoning'],T20,T2053XS,T20.53XS,45594389,Condition
C2870598,ENG,P,L9377749,PF,S11623525,N,A18922591,,,T20.54XD,ICD10CM,PT,T20.54XD,"Corrosion of first degree of nose (septum), subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2054XD,T20.54XD,45599201,Condition
C2870601,ENG,P,L9397961,PF,S11623602,N,A18909496,,,T20.55XA,ICD10CM,PT,T20.55XA,"Corrosion of first degree of scalp [any part], initial encounter",4,N,,,['Injury or Poisoning'],T20,T2055XA,T20.55XA,45608781,Condition
C2870614,ENG,P,L9367441,PF,S11623466,N,A18919990,,,T20.59XD,ICD10CM,PT,T20.59XD,"Corrosion of first degree of multiple sites of head, face, and neck, subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2059XD,T20.59XD,45570172,Condition
C2870628,ENG,P,L9397999,PF,S11623814,Y,A17834114,,,T20.612D,ICD10CM,PT,T20.612D,"Corrosion of second degree of left ear [any part, except ear drum], subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T20612D,T20.612D,45555737,Condition
C2870631,ENG,P,L9336779,PF,S11624083,N,A17846862,,,T20.619A,ICD10CM,PT,T20.619A,"Corrosion of second degree of unspecified ear [any part, except ear drum], initial encounter",4,N,,,['Injury or Poisoning'],T20,T20619A,T20.619A,45584673,Condition
C2870651,ENG,P,L9336749,PF,S11623786,N,A18917409,,,T20.66XA,ICD10CM,PT,T20.66XA,"Corrosion of second degree of forehead and cheek, initial encounter",4,N,,,['Injury or Poisoning'],T20,T2066XA,T20.66XA,45604050,Condition
C2870661,ENG,P,L9398009,PF,S11623910,N,A18906836,,,T20.69XS,ICD10CM,PT,T20.69XS,"Corrosion of second degree of multiple sites of head, face, and neck, sequela",4,N,,,['Injury or Poisoning'],T20,T2069XS,T20.69XS,45555738,Condition
C2870670,ENG,P,L9398067,PF,S11624412,Y,A17872198,,,T20.711D,ICD10CM,PT,T20.711D,"Corrosion of third degree of right ear [any part, except ear drum], subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T20711D,T20.711D,45594393,Condition
C2870677,ENG,P,L9336824,PF,S11624510,N,A17859325,,,T20.719A,ICD10CM,PT,T20.719A,"Corrosion of third degree of unspecified ear [any part, except ear drum], initial encounter",4,N,,,['Injury or Poisoning'],T20,T20719A,T20.719A,45599206,Condition
C2870678,ENG,P,L9377874,PF,S11624512,N,A17782892,,,T20.719D,ICD10CM,PT,T20.719D,"Corrosion of third degree of unspecified ear [any part, except ear drum], subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T20719D,T20.719D,45570178,Condition
C2870694,ENG,P,L9408274,PF,S11624472,N,A18906839,,,T20.75XD,ICD10CM,PT,T20.75XD,"Corrosion of third degree of scalp [any part], subsequent encounter",4,N,,,['Injury or Poisoning'],T20,T2075XD,T20.75XD,45546128,Condition
C2870710,ENG,P,L9336132,PF,S11618452,N,A18906842,,,T21.00XD,ICD10CM,PT,T21.00XD,"Burn of unspecified degree of trunk, unspecified site, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2100XD,T21.00XD,45604051,Condition
C2870772,ENG,P,L9366712,PF,S11616966,N,A18912127,,,T21.14XS,ICD10CM,PT,T21.14XS,"Burn of first degree of lower back, sequela",4,N,,,['Injury or Poisoning'],T21,T2114XS,T21.14XS,45594397,Condition
C2870775,ENG,P,L9376994,PF,S11616860,N,A18922605,,,T21.15XD,ICD10CM,PT,T21.15XD,"Burn of first degree of buttock, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2115XD,T21.15XD,45579866,Condition
C2870779,ENG,P,L9346069,PF,S11616973,N,A18920006,,,T21.16XD,ICD10CM,PT,T21.16XD,"Burn of first degree of male genital region, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2116XD,T21.16XD,45555746,Condition
C2870795,ENG,P,L9387178,PF,S11617333,N,A18922610,,,T21.21XD,ICD10CM,PT,T21.21XD,"Burn of second degree of chest wall, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2121XD,T21.21XD,45608795,Condition
C2870796,ENG,P,L9397178,PF,S11617332,N,A18920010,,,T21.21XS,ICD10CM,PT,T21.21XS,"Burn of second degree of chest wall, sequela",4,N,,,['Injury or Poisoning'],T21,T2121XS,T21.21XS,45599213,Condition
C2870799,ENG,P,L9377041,PF,S11617308,N,A18920011,,,T21.22XD,ICD10CM,PT,T21.22XD,"Burn of second degree of abdominal wall, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2122XD,T21.22XD,45560476,Condition
C2870805,ENG,P,L9346149,PF,S11617724,N,A18922611,,,T21.23XS,ICD10CM,PT,T21.23XS,"Burn of second degree of upper back, sequela",4,N,,,['Injury or Poisoning'],T21,T2123XS,T21.23XS,45536506,Condition
C2870812,ENG,P,L9377042,PF,S11617329,N,A18912129,,,T21.25XD,ICD10CM,PT,T21.25XD,"Burn of second degree of buttock, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2125XD,T21.25XD,45594398,Condition
C2870837,ENG,P,L9377100,PF,S11617730,N,A18925248,,,T21.32XS,ICD10CM,PT,T21.32XS,"Burn of third degree of abdominal wall, sequela",4,N,,,['Injury or Poisoning'],T21,T2132XS,T21.32XS,45536507,Condition
C2870842,ENG,P,L9366855,PF,S11618147,N,A18920014,,,T21.33XS,ICD10CM,PT,T21.33XS,"Burn of third degree of upper back, sequela",4,N,,,['Injury or Poisoning'],T21,T2133XS,T21.33XS,45560478,Condition
C2870859,ENG,P,L9366808,PF,S11617765,N,A18925250,,,T21.37XS,ICD10CM,PT,T21.37XS,"Burn of third degree of female genital region, sequela",4,N,,,['Injury or Poisoning'],T21,T2137XS,T21.37XS,45565330,Condition
C2870886,ENG,P,L9357231,PF,S11624732,N,A18920016,,,T21.44XD,ICD10CM,PT,T21.44XD,"Corrosion of unspecified degree of lower back, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2144XD,T21.44XD,45555752,Condition
C2870905,ENG,P,L9357223,PF,S11624639,N,A18914790,,,T21.47XD,ICD10CM,PT,T21.47XD,"Corrosion of unspecified degree of female genital region, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2147XD,T21.47XD,45575061,Condition
C2870913,ENG,P,L9408160,PF,S11623628,Y,A18920021,,,T21.50XD,ICD10CM,PT,T21.50XD,"Corrosion of first degree of trunk, unspecified site, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2150XD,T21.50XD,45584683,Condition
C2870938,ENG,P,L9397921,PF,S11623330,N,A18922620,,,T21.55XD,ICD10CM,PT,T21.55XD,"Corrosion of first degree of buttock, subsequent encounter",4,N,,,['Injury or Poisoning'],T21,T2155XD,T21.55XD,45589545,Condition
C2870957,ENG,P,L9387901,PF,S11623528,N,A18906865,,,T21.59XS,ICD10CM,PT,T21.59XS,"Corrosion of first degree of other site of trunk, sequela",4,N,,,['Injury or Poisoning'],T21,T2159XS,T21.59XS,45589546,Condition
C2870959,ENG,P,L9346876,PF,S11624067,N,A18914795,,,T21.60XA,ICD10CM,PT,T21.60XA,"Corrosion of second degree of trunk, unspecified site, initial encounter",4,N,,,['Injury or Poisoning'],T21,T2160XA,T21.60XA,45579879,Condition
C2870979,ENG,P,L9377788,PF,S11623880,N,A18909517,,,T21.64XA,ICD10CM,PT,T21.64XA,"Corrosion of second degree of lower back, initial encounter",4,N,,,['Injury or Poisoning'],T21,T2164XA,T21.64XA,45560481,Condition
C2870984,ENG,P,L9357102,PF,S11623765,N,A18922625,,,T21.65XA,ICD10CM,PT,T21.65XA,"Corrosion of second degree of buttock, initial encounter",4,N,,,['Injury or Poisoning'],T21,T2165XA,T21.65XA,45560482,Condition
C2871000,ENG,P,L9346835,PF,S11623780,Y,A18912137,,,T21.67XS,ICD10CM,PT,T21.67XS,"Corrosion of second degree of female genital region, sequela",4,N,,,['Injury or Poisoning'],T21,T2167XS,T21.67XS,45579883,Condition
C2871017,ENG,P,L9357161,PF,S11624179,N,A18920029,,,T21.72XA,ICD10CM,PT,T21.72XA,"Corrosion of third degree of abdominal wall, initial encounter",4,N,,,['Injury or Poisoning'],T21,T2172XA,T21.72XA,45604065,Condition
C2871022,ENG,P,L9346939,PF,S11624596,N,A18912141,,,T21.73XA,ICD10CM,PT,T21.73XA,"Corrosion of third degree of upper back, initial encounter",4,N,,,['Injury or Poisoning'],T21,T2173XA,T21.73XA,45579884,Condition
C2871063,ENG,P,L9397273,PF,S11618219,N,A17821423,,,T22.012S,ICD10CM,PT,T22.012S,"Burn of unspecified degree of left forearm, sequela",4,N,,,['Injury or Poisoning'],T22,T22012S,T22.012S,45560487,Condition
C2871066,ENG,P,L9407580,PF,S11618476,Y,A17859390,,,T22.019D,ICD10CM,PT,T22.019D,"Burn of unspecified degree of unspecified forearm, subsequent encounter",4,N,,,['Injury or Poisoning'],T22,T22019D,T22.019D,45550954,Condition
C2871069,ENG,P,L9377175,PF,S11618376,Y,A17795616,,,T22.021A,ICD10CM,PT,T22.021A,"Burn of unspecified degree of right elbow, initial encounter",4,N,,,['Injury or Poisoning'],T22,T22021A,T22.021A,45589550,Condition
C2871079,ENG,P,L9397304,PF,S11618467,N,A17821426,,,T22.029S,ICD10CM,PT,T22.029S,"Burn of unspecified degree of unspecified elbow, sequela",4,N,,,['Injury or Poisoning'],T22,T22029S,T22.029S,45541298,Condition
C2871089,ENG,P,L9387312,PF,S11618539,N,A17859395,,,T22.039A,ICD10CM,PT,T22.039A,"Burn of unspecified degree of unspecified upper arm, initial encounter",4,N,,,['Injury or Poisoning'],T22,T22039A,T22.039A,45599226,Condition
C2871090,ENG,P,L9397317,PF,S11618541,N,A17795617,,,T22.039D,ICD10CM,PT,T22.039D,"Burn of unspecified degree of unspecified upper arm, subsequent encounter",4,N,,,['Injury or Poisoning'],T22,T22039D,T22.039D,45599227,Condition
C2871093,ENG,P,L9346224,PF,S11618368,Y,A17782950,,,T22.041A,ICD10CM,PT,T22.041A,"Burn of unspecified degree of right axilla, initial encounter",4,N,,,['Injury or Poisoning'],T22,T22041A,T22.041A,45579887,Condition
C2871103,ENG,P,L9366893,PF,S11618459,N,A17795618,,,T22.049S,ICD10CM,PT,T22.049S,"Burn of unspecified degree of unspecified axilla, sequela",4,N,,,['Injury or Poisoning'],T22,T22049S,T22.049S,45599229,Condition
C2871134,ENG,P,L9387280,PF,S11618309,Y,A17846920,,,T22.092A,ICD10CM,PT,T22.092A,"Burn of unspecified degree of multiple sites of left shoulder and upper limb, except wrist and hand, initial encounter",4,N,,,['Injury or Poisoning'],T22,T22092A,T22.092A,45589552,Condition
