CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C0006849,ENG,S,L0770564,PF,S0832106,N,A17850283,,,B37.0,ICD10CM,PT,B37.0,Candidal stomatitis,4,N,256.0,,['Disease or Syndrome'],B37,B370,B37.0,35205820,Condition
C0007099,ENG,S,L0772413,PF,S0832933,N,A17786670,,,D09.9,ICD10CM,PT,D09.9,"Carcinoma in situ, unspecified",4,N,,,['Neoplastic Process'],D09,D099,D09.9,35206497,Condition
C0007102,ENG,S,L0547230,PF,S0683654,N,A17773665,,,C18.9,ICD10CM,PT,C18.9,"Malignant neoplasm of colon, unspecified",4,N,,,['Neoplastic Process'],C18,C189,C18.9,35206139,Condition
C0007855,ENG,S,L0779641,PF,S0993054,N,A17853596,,,N84.1,ICD10CM,PT,N84.1,Polyp of cervix uteri,4,N,256.0,,['Neoplastic Process'],N84,N841,N84.1,35209424,Condition
C0008677,ENG,S,L0041770,VCW,S0218329,N,A17826592,,,J42,ICD10CM,PT,J42,Unspecified chronic bronchitis,4,N,256.0,,['Disease or Syndrome'],J42,J42,J42,35208017,Condition
C0008683,ENG,P,L0008683,PF,S0218300,N,A17775348,,,J32.1,ICD10CM,PT,J32.1,Chronic frontal sinusitis,4,N,256.0,,['Disease or Syndrome'],J32,J321,J32.1,35207978,Condition
C0008909,ENG,P,L0008909,PF,S0025746,N,A17799858,,,F40.240,ICD10CM,PT,F40.240,Claustrophobia,4,N,256.0,,['Mental or Behavioral Dysfunction'],F40,F40240,F40.240,45576544,Condition
C0009421,ENG,S,L0790997,VCW,S11688326,N,A17841693,,,R40.20,ICD10CM,PT,R40.20,Unspecified coma,4,N,256.0,,['Disease or Syndrome'],R40,R4020,R40.20,45606806,Condition
C0009592,ENG,P,L0009592,PF,S0218061,N,A17787306,,,G93.5,ICD10CM,PT,G93.5,Compression of brain,4,N,256.0,,['Disease or Syndrome'],G93,G935,G93.5,35207506,Condition
C0010051,ENG,S,L0161116,PF,S0848657,N,A17787846,,,I25.41,ICD10CM,PT,I25.41,Coronary artery aneurysm,4,N,256.0,,['Disease or Syndrome'],I25,I2541,I25.41,45557538,Condition
C0010074,ENG,S,L0799098,PF,S0940336,N,A17790288,,,Q24.5,ICD10CM,PT,Q24.5,Malformation of coronary vessels,4,N,256.0,,['Congenital Abnormality'],Q24,Q245,Q24.5,35210828,Condition
C0010232,ENG,P,L0010232,PF,S0028666,N,A17786334,,,B08.010,ICD10CM,PT,B08.010,Cowpox,4,N,256.0,,['Disease or Syndrome'],B08,B08010,B08.010,45561741,Condition
C0011175,ENG,P,L0011175,PF,S0030675,N,A17838167,,,E86.0,ICD10CM,PT,E86.0,Dehydration,4,N,256.0,,['Disease or Syndrome'],E86,E860,E86.0,45557144,Condition
C0012555,ENG,P,L0012555,PF,S0217607,N,A17824748,,,A36.3,ICD10CM,PT,A36.3,Cutaneous diphtheria,4,N,256.0,,['Disease or Syndrome'],A36,A363,A36.3,35205535,Condition
