code,code_type,description,concept_id,code_class
E13.3532,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",37200290,diabc
E13.3543,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",37200296,diabc
E13.3599,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",37200306,diabc
E13.37X3,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",37200310,diabc
E10.36,ICD10CM,Type 1 diabetes mellitus with diabetic cataract,45552382,diabc
E10.42,ICD10CM,Type 1 diabetes mellitus with diabetic polyneuropathy,45595795,diabc
E13.36,ICD10CM,Other specified diabetes mellitus with diabetic cataract,45566734,diabc
E13.42,ICD10CM,Other specified diabetes mellitus with diabetic polyneuropathy,45566735,diabc
E11.8,ICD10CM,Type 2 diabetes mellitus with unspecified complications,35206881,diabc
E10.39,ICD10CM,Type 1 diabetes mellitus with other diabetic ophthalmic complication,45576438,diabc
E10.43,ICD10CM,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,45533017,diabc
E10.610,ICD10CM,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,45576440,diabc
E10.618,ICD10CM,Type 1 diabetes mellitus with other diabetic arthropathy,45537960,diabc
E10.628,ICD10CM,Type 1 diabetes mellitus with other skin complications,45566729,diabc
E11.59,ICD10CM,Type 2 diabetes mellitus with other circulatory complications,45576443,diabc
E11.620,ICD10CM,Type 2 diabetes mellitus with diabetic dermatitis,45547626,diabc
E11.638,ICD10CM,Type 2 diabetes mellitus with other oral complications,45566731,diabc
E11.65,ICD10CM,Type 2 diabetes mellitus with hyperglycemia,45605405,diabc
E13.39,ICD10CM,Other specified diabetes mellitus with other diabetic ophthalmic complication,45547635,diabc
E13.49,ICD10CM,Other specified diabetes mellitus with other diabetic neurological complication,45561957,diabc
E10.3292,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",37200146,diabc
E10.3293,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",37200147,diabc
E10.3299,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",37200148,diabc
E10.3412,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",37200158,diabc
E10.3521,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",37200170,diabc
E10.3559,ICD10CM,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",37200188,diabc
E10.3599,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",37200192,diabc
E11.3219,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200201,diabc
E11.3292,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",37200203,diabc
E11.3312,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",37200207,diabc
E11.3412,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",37200215,diabc
E11.3511,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",37200222,diabc
E11.3512,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",37200223,diabc
E11.37X1,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",37200251,diabc
E13.3219,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200258,diabc
E13.3412,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",37200272,diabc
E13.3491,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",37200275,diabc
E13.3493,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",37200277,diabc
E13.3522,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",37200285,diabc
E13.3533,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",37200291,diabc
E13.3549,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",37200297,diabc
E13.3591,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",37200303,diabc
E11.69,ICD10CM,Type 2 diabetes mellitus with other specified complication,45595799,diabc
E13.41,ICD10CM,Other specified diabetes mellitus with diabetic mononeuropathy,45591034,diabc
E10.44,ICD10CM,Type 1 diabetes mellitus with diabetic amyotrophy,45561948,diabc
E10.641,ICD10CM,Type 1 diabetes mellitus with hypoglycemia with coma,45552383,diabc
E11.319,ICD10CM,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema,45581353,diabc
E11.622,ICD10CM,Type 2 diabetes mellitus with other skin ulcer,45600642,diabc
E13.21,ICD10CM,Other specified diabetes mellitus with diabetic nephropathy,45542741,diabc
E13.618,ICD10CM,Other specified diabetes mellitus with other diabetic arthropathy,45581358,diabc
E13.621,ICD10CM,Other specified diabetes mellitus with foot ulcer,45566736,diabc
E10.3211,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",37200141,diabc
E10.3212,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",37200142,diabc
E10.3399,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",37200156,diabc
E10.3522,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",37200171,diabc
E10.3532,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",37200176,diabc
E10.3552,ICD10CM,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",37200186,diabc
E11.3492,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",37200219,diabc
E11.3499,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",37200221,diabc
E11.3513,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",37200224,diabc
E11.3543,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",37200239,diabc
E11.3551,ICD10CM,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",37200242,diabc
E11.3591,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",37200246,diabc
E13.3213,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",37200257,diabc
E13.3399,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",37200270,diabc
E13.3499,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",37200278,diabc
E13.3551,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye",37200299,diabc
E13.3553,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",37200301,diabc
E13.37X2,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",37200309,diabc
E13.69,ICD10CM,Other specified diabetes mellitus with other specified complication,45600644,diabc
E11.42,ICD10CM,Type 2 diabetes mellitus with diabetic polyneuropathy,45557113,diabc
E10.49,ICD10CM,Type 1 diabetes mellitus with other diabetic neurological complication,45586138,diabc
E10.52,ICD10CM,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,45542737,diabc
E10.621,ICD10CM,Type 1 diabetes mellitus with foot ulcer,45605398,diabc
E11.311,ICD10CM,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema,45581352,diabc
E11.649,ICD10CM,Type 2 diabetes mellitus with hypoglycemia without coma,45591031,diabc
E13.319,ICD10CM,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,45586142,diabc
E10.3312,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",37200150,diabc
E10.3319,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200152,diabc
E10.3491,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",37200161,diabc
E10.3551,ICD10CM,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",37200185,diabc
E11.3523,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",37200229,diabc
E11.3592,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",37200247,diabc
E11.3599,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",37200249,diabc
E13.3411,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",37200271,diabc
E13.3419,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200274,diabc
E13.3542,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",37200295,diabc
E13.37X1,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",37200308,diabc
E13.37X9,ICD10CM,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",37200311,diabc
E10.29,ICD10CM,Type 1 diabetes mellitus with other diabetic kidney complication,45600637,diabc
E10.630,ICD10CM,Type 1 diabetes mellitus with periodontal disease,45557111,diabc
E10.638,ICD10CM,Type 1 diabetes mellitus with other oral complications,45547623,diabc
E11.29,ICD10CM,Type 2 diabetes mellitus with other diabetic kidney complication,45605401,diabc
E11.43,ICD10CM,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,45537962,diabc
E11.44,ICD10CM,Type 2 diabetes mellitus with diabetic amyotrophy,45533020,diabc
E11.49,ICD10CM,Type 2 diabetes mellitus with other diabetic neurological complication,45605404,diabc
E13.311,ICD10CM,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,45576447,diabc
E13.40,ICD10CM,"Other specified diabetes mellitus with diabetic neuropathy, unspecified",45561956,diabc
E13.52,ICD10CM,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,45586143,diabc
E13.638,ICD10CM,Other specified diabetes mellitus with other oral complications,45566737,diabc
E11.22,ICD10CM,Type 2 diabetes mellitus with diabetic chronic kidney disease,45595797,diabc
E10.3219,ICD10CM,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200144,diabc
E10.3392,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",37200154,diabc
E10.3393,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",37200155,diabc
E10.3492,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",37200162,diabc
E10.3512,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",37200166,diabc
E10.3591,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",37200189,diabc
E10.37X2,ICD10CM,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",37200195,diabc
E11.3399,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",37200213,diabc
E11.3419,ICD10CM,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",37200217,diabc
E11.3542,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",37200238,diabc
E13.3293,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",37200261,diabc
E13.3392,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",37200268,diabc
E13.3492,ICD10CM,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",37200276,diabc
E13.3511,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",37200279,diabc
E13.3541,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",37200294,diabc
E13.3559,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",37200302,diabc
E10.69,ICD10CM,Type 1 diabetes mellitus with other specified complication,45547624,diabc
E10.21,ICD10CM,Type 1 diabetes mellitus with diabetic nephropathy,45552379,diabc
E11.36,ICD10CM,Type 2 diabetes mellitus with diabetic cataract,45595798,diabc
E10.620,ICD10CM,Type 1 diabetes mellitus with diabetic dermatitis,45600639,diabc
E10.65,ICD10CM,Type 1 diabetes mellitus with hyperglycemia,45533018,diabc
E11.628,ICD10CM,Type 2 diabetes mellitus with other skin complications,45547627,diabc
E13.59,ICD10CM,Other specified diabetes mellitus with other circulatory complications,45537963,diabc
E13.622,ICD10CM,Other specified diabetes mellitus with other skin ulcer,45557116,diabc
E13.630,ICD10CM,Other specified diabetes mellitus with periodontal disease,45581359,diabc
E10.3313,ICD10CM,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",37200151,diabc
E10.3413,ICD10CM,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",37200159,diabc
E10.3511,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",37200165,diabc
E10.3513,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",37200167,diabc
E10.3519,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",37200168,diabc
E10.3549,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",37200183,diabc
E10.3592,ICD10CM,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",37200190,diabc
E11.3211,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",37200198,diabc
E11.3291,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",37200202,diabc
E11.3293,ICD10CM,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",37200204,diabc
E11.3311,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",37200206,diabc
E11.3392,ICD10CM,"Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",37200211,diabc
E11.3519,ICD10CM,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",37200225,diabc
E11.3552,ICD10CM,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",37200243,diabc
E11.3553,ICD10CM,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",37200244,diabc
E11.37X9,ICD10CM,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",37200254,diabc
E13.3212,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",37200256,diabc
E13.3291,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",37200259,diabc
E13.3292,ICD10CM,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",37200260,diabc
E13.3391,ICD10CM,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",37200267,diabc
E13.3523,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",37200286,diabc
E13.3531,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",37200289,diabc
E13.3539,ICD10CM,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",37200292,diabc
E13.3552,ICD10CM,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",37200300,diabc
E89.0,ICD10CM,Postprocedural hypothyroidism,35207108,hypothy
E03.5,ICD10CM,Myxedema coma,35206857,hypothy
E02,ICD10CM,Subclinical iodine-deficiency hypothyroidism,35206851,hypothy
E03.2,ICD10CM,Hypothyroidism due to medicaments and other exogenous substances,35206854,hypothy
E03.9,ICD10CM,"Hypothyroidism, unspecified",35206859,hypothy
E03.1,ICD10CM,Congenital hypothyroidism without goiter,35206853,hypothy
E03.8,ICD10CM,Other specified hypothyroidism,35206858,hypothy
E01.0,ICD10CM,Iodine-deficiency related diffuse (endemic) goiter,35206847,hypothy
E01.2,ICD10CM,"Iodine-deficiency related (endemic) goiter, unspecified",35206849,hypothy
E00.2,ICD10CM,"Congenital iodine-deficiency syndrome, mixed type",35206845,hypothy
E00.0,ICD10CM,"Congenital iodine-deficiency syndrome, neurological type",35206843,hypothy
E01.8,ICD10CM,Other iodine-deficiency related thyroid disorders and allied conditions,35206850,hypothy
E00.9,ICD10CM,"Congenital iodine-deficiency syndrome, unspecified",35206846,hypothy
E03.4,ICD10CM,Atrophy of thyroid (acquired),35206856,hypothy
E03.0,ICD10CM,Congenital hypothyroidism with diffuse goiter,35206852,hypothy
E03.3,ICD10CM,Postinfectious hypothyroidism,35206855,hypothy
E01.1,ICD10CM,Iodine-deficiency related multinodular (endemic) goiter,35206848,hypothy
E00.1,ICD10CM,"Congenital iodine-deficiency syndrome, myxedematous type",35206844,hypothy
N19,ICD10CM,Unspecified kidney failure,35209280,rf
Z94.0,ICD10CM,Kidney transplant status,35225404,rf
N18.2,ICD10CM,"Chronic kidney disease, stage 2 (mild)",35209275,rf
N18.4,ICD10CM,"Chronic kidney disease, stage 4 (severe)",35209277,rf
N18.9,ICD10CM,"Chronic kidney disease, unspecified",35209279,rf
Z49.01,ICD10CM,Encounter for fitting and adjustment of extracorporeal dialysis catheter,45609945,rf
N18.5,ICD10CM,"Chronic kidney disease, stage 5",35209278,rf
N18.6,ICD10CM,End stage renal disease,45548653,rf
N18.30,ICD10CM,"Chronic kidney disease, stage 3 unspecified",725440,rf
Z99.2,ICD10CM,Dependence on renal dialysis,35225436,rf
N18.1,ICD10CM,"Chronic kidney disease, stage 1",35209274,rf
I13.10,ICD10CM,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",45543164,rf
Z49.02,ICD10CM,Encounter for fitting and adjustment of peritoneal dialysis catheter,45585835,rf
N18.31,ICD10CM,"Chronic kidney disease, stage 3a",725441,rf
N18.32,ICD10CM,"Chronic kidney disease, stage 3b",725442,rf
I12.0,ICD10CM,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,35207671,rf
N25.0,ICD10CM,Renal osteodystrophy,35209291,rf
I13.11,ICD10CM,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",45596188,rf
K70.0,ICD10CM,Alcoholic fatty liver,35208330,ld
K76.9,ICD10CM,"Liver disease, unspecified",35208368,ld
B18.1,ICD10CM,Chronic viral hepatitis B without delta-agent,35205770,ld
B18.9,ICD10CM,"Chronic viral hepatitis, unspecified",35205773,ld
K71.4,ICD10CM,Toxic liver disease with chronic lobular hepatitis,35208336,ld
K73.8,ICD10CM,"Other chronic hepatitis, not elsewhere classified",35208344,ld
K72.10,ICD10CM,Chronic hepatic failure without coma,45543339,ld
K72.91,ICD10CM,"Hepatic failure, unspecified with coma",45572226,ld
K70.31,ICD10CM,Alcoholic cirrhosis of liver with ascites,45538545,ld
K76.5,ICD10CM,Hepatic veno-occlusive disease,35208364,ld
K74.5,ICD10CM,"Biliary cirrhosis, unspecified",35208351,ld
K76.3,ICD10CM,Infarction of liver,35208362,ld
I85.01,ICD10CM,Esophageal varices with bleeding,45538463,ld
K74.3,ICD10CM,Primary biliary cirrhosis,35208349,ld
K76.6,ICD10CM,Portal hypertension,35208365,ld
K73.2,ICD10CM,"Chronic active hepatitis, not elsewhere classified",35208343,ld
I85.11,ICD10CM,Secondary esophageal varices with bleeding,45538464,ld
K70.30,ICD10CM,Alcoholic cirrhosis of liver without ascites,45605952,ld
K72.11,ICD10CM,Chronic hepatic failure with coma,45576999,ld
K74.69,ICD10CM,Other cirrhosis of liver,45581912,ld
K76.7,ICD10CM,Hepatorenal syndrome,35208366,ld
K70.9,ICD10CM,"Alcoholic liver disease, unspecified",35208332,ld
K74.1,ICD10CM,Hepatic sclerosis,35208347,ld
K74.2,ICD10CM,Hepatic fibrosis with hepatic sclerosis,35208348,ld
K76.2,ICD10CM,Central hemorrhagic necrosis of liver,35208361,ld
K76.81,ICD10CM,Hepatopulmonary syndrome,45548170,ld
K70.10,ICD10CM,Alcoholic hepatitis without ascites,45562507,ld
K70.11,ICD10CM,Alcoholic hepatitis with ascites,45552946,ld
K76.4,ICD10CM,Peliosis hepatis,35208363,ld
K74.00,ICD10CM,"Hepatic fibrosis, unspecified",725367,ld
K76.89,ICD10CM,Other specified diseases of liver,45605957,ld
K71.3,ICD10CM,Toxic liver disease with chronic persistent hepatitis,35208335,ld
I85.10,ICD10CM,Secondary esophageal varices without bleeding,45576934,ld
K72.00,ICD10CM,Acute and subacute hepatic failure without coma,45567324,ld
K72.90,ICD10CM,"Hepatic failure, unspecified without coma",45557675,ld
K74.02,ICD10CM,"Hepatic fibrosis, advanced fibrosis",725369,ld
B18.0,ICD10CM,Chronic viral hepatitis B with delta-agent,35205769,ld
K70.41,ICD10CM,Alcoholic hepatic failure with coma,45552947,ld
K71.51,ICD10CM,Toxic liver disease with chronic active hepatitis with ascites,45543335,ld
K72.01,ICD10CM,Acute and subacute hepatic failure with coma,45543338,ld
K74.60,ICD10CM,Unspecified cirrhosis of liver,45601187,ld
K74.01,ICD10CM,"Hepatic fibrosis, early fibrosis",725368,ld
I86.4,ICD10CM,Gastric varices,35207901,ld
K74.4,ICD10CM,Secondary biliary cirrhosis,35208350,ld
I85.00,ICD10CM,Esophageal varices without bleeding,45572150,ld
Z94.4,ICD10CM,Liver transplant status,35225408,ld
K70.2,ICD10CM,Alcoholic fibrosis and sclerosis of liver,35208331,ld
K71.7,ICD10CM,Toxic liver disease with fibrosis and cirrhosis of liver,35208338,ld
K76.0,ICD10CM,"Fatty (change of) liver, not elsewhere classified",35208359,ld
K71.11,ICD10CM,"Toxic liver disease with hepatic necrosis, with coma",45552948,ld
K73.9,ICD10CM,"Chronic hepatitis, unspecified",35208345,ld
B18.8,ICD10CM,Other chronic viral hepatitis,35205772,ld
K73.0,ICD10CM,"Chronic persistent hepatitis, not elsewhere classified",35208341,ld
K73.1,ICD10CM,"Chronic lobular hepatitis, not elsewhere classified",35208342,ld
B18.2,ICD10CM,Chronic viral hepatitis C,35205771,ld
K70.40,ICD10CM,Alcoholic hepatic failure without coma,45586730,ld
K71.10,ICD10CM,"Toxic liver disease with hepatic necrosis, without coma",45557672,ld
K71.50,ICD10CM,Toxic liver disease with chronic active hepatitis without ascites,45586731,ld
K26.9,ICD10CM,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",35208218,pud
K27.7,ICD10CM,"Chronic peptic ulcer, site unspecified, without hemorrhage or perforation",35208226,pud
K27.9,ICD10CM,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation",35208227,pud
K26.7,ICD10CM,Chronic duodenal ulcer without hemorrhage or perforation,35208217,pud
K28.9,ICD10CM,"Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",35208236,pud
K25.9,ICD10CM,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation",35208209,pud
K25.7,ICD10CM,Chronic gastric ulcer without hemorrhage or perforation,35208208,pud
K28.7,ICD10CM,Chronic gastrojejunal ulcer without hemorrhage or perforation,35208235,pud
B20,ICD10CM,Human immunodeficiency virus [HIV] disease,35205776,aids
C84.00,ICD10CM,"Mycosis fungoides, unspecified site",45605313,lymph
C83.74,ICD10CM,"Burkitt lymphoma, lymph nodes of axilla and upper limb",45605309,lymph
C83.76,ICD10CM,"Burkitt lymphoma, intrapelvic lymph nodes",45547541,lymph
C81.11,ICD10CM,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck",45561839,lymph
C81.34,ICD10CM,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb",45547531,lymph
C90.01,ICD10CM,Multiple myeloma in remission,45581251,lymph
C81.93,ICD10CM,"Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",45571547,lymph
C82.02,ICD10CM,"Follicular lymphoma grade I, intrathoracic lymph nodes",45537850,lymph
C82.04,ICD10CM,"Follicular lymphoma grade I, lymph nodes of axilla and upper limb",45566629,lymph
C82.05,ICD10CM,"Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb",45557024,lymph
C82.19,ICD10CM,"Follicular lymphoma grade II, extranodal and solid organ sites",45581234,lymph
C82.36,ICD10CM,"Follicular lymphoma grade IIIa, intrapelvic lymph nodes",45581235,lymph
C82.37,ICD10CM,"Follicular lymphoma grade IIIa, spleen",45590937,lymph
C82.38,ICD10CM,"Follicular lymphoma grade IIIa, lymph nodes of multiple sites",45576351,lymph
C82.42,ICD10CM,"Follicular lymphoma grade IIIb, intrathoracic lymph nodes",45605299,lymph
C82.54,ICD10CM,"Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb",45542642,lymph
C82.87,ICD10CM,"Other types of follicular lymphoma, spleen",45561846,lymph
C82.90,ICD10CM,"Follicular lymphoma, unspecified, unspecified site",45552300,lymph
C83.08,ICD10CM,"Small cell B-cell lymphoma, lymph nodes of multiple sites",45590941,lymph
C83.57,ICD10CM,"Lymphoblastic (diffuse) lymphoma, spleen",45557029,lymph
C83.58,ICD10CM,"Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites",45595707,lymph
C83.87,ICD10CM,"Other non-follicular lymphoma, spleen",45586047,lymph
C83.98,ICD10CM,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites",45561856,lymph
C83.99,ICD10CM,"Non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites",45590948,lymph
C84.76,ICD10CM,"Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes",45576362,lymph
C84.79,ICD10CM,"Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites",45586053,lymph
C84.98,ICD10CM,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites",45571564,lymph
C84.A7,ICD10CM,"Cutaneous T-cell lymphoma, unspecified, spleen",45605324,lymph
C84.Z5,ICD10CM,"Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb",45595712,lymph
C85.28,ICD10CM,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites",45552308,lymph
