code,code_type,description,concept_id,code_class
R00.8,ICD10CM,Other abnormalities of heart beat,35211264,carit
R00.0,ICD10CM,"Tachycardia, unspecified",35211261,carit
I45.9,ICD10CM,"Conduction disorder, unspecified",35207778,carit
I44.1,ICD10CM,"Atrioventricular block, second degree",35207767,carit
T82.110D,ICD10CM,"Breakdown (mechanical) of cardiac electrode, subsequent encounter",45551487,carit
T82.111A,ICD10CM,"Breakdown (mechanical) of cardiac pulse generator (battery), initial encounter",45551488,carit
T82.111D,ICD10CM,"Breakdown (mechanical) of cardiac pulse generator (battery), subsequent encounter",45575556,carit
T82.119A,ICD10CM,"Breakdown (mechanical) of unspecified cardiac electronic device, initial encounter",45575557,carit
T82.121A,ICD10CM,"Displacement of cardiac pulse generator (battery), initial encounter",45585241,carit
T82.129A,ICD10CM,"Displacement of unspecified cardiac electronic device, initial encounter",45551490,carit
T82.190S,ICD10CM,"Other mechanical complication of cardiac electrode, sequela",45537025,carit
T82.191D,ICD10CM,"Other mechanical complication of cardiac pulse generator (battery), subsequent encounter",45575558,carit
I48.21,ICD10CM,Permanent atrial fibrillation,1553754,carit
T82.118S,ICD10CM,"Breakdown (mechanical) of other cardiac electronic device, sequela",45594898,carit
T82.129D,ICD10CM,"Displacement of unspecified cardiac electronic device, subsequent encounter",45609327,carit
T82.199S,ICD10CM,"Other mechanical complication of unspecified cardiac device, sequela",45580406,carit
Z45.010,ICD10CM,Encounter for checking and testing of cardiac pacemaker pulse generator [battery],45547315,carit
I48.3,ICD10CM,Typical atrial flutter,1569172,carit
I48.4,ICD10CM,Atypical atrial flutter,1569173,carit
I49.1,ICD10CM,Atrial premature depolarization,35207786,carit
I49.8,ICD10CM,Other specified cardiac arrhythmias,35207790,carit
Z95.0,ICD10CM,Presence of cardiac pacemaker,35225413,carit
T82.110S,ICD10CM,"Breakdown (mechanical) of cardiac electrode, sequela",45565830,carit
T82.118A,ICD10CM,"Breakdown (mechanical) of other cardiac electronic device, initial encounter",45609323,carit
T82.119S,ICD10CM,"Breakdown (mechanical) of unspecified cardiac electronic device, sequela",45570710,carit
T82.198D,ICD10CM,"Other mechanical complication of other cardiac electronic device, subsequent encounter",45575559,carit
Q23.2,ICD10CM,Congenital mitral stenosis,35210818,valv
I05.2,ICD10CM,Rheumatic mitral stenosis with insufficiency,35207645,valv
I06.8,ICD10CM,Other rheumatic aortic valve diseases,35207651,valv
I09.89,ICD10CM,Other specified rheumatic heart diseases,45538368,valv
I08.0,ICD10CM,Rheumatic disorders of both mitral and aortic valves,35207658,valv
I08.8,ICD10CM,Other rheumatic multiple valve diseases,35207662,valv
I34.1,ICD10CM,Nonrheumatic mitral (valve) prolapse,35207729,valv
I35.8,ICD10CM,Other nonrheumatic aortic valve disorders,35207736,valv
I37.8,ICD10CM,Other nonrheumatic pulmonary valve disorders,35207746,valv
A52.06,ICD10CM,Other syphilitic heart involvement,45585921,valv
I06.1,ICD10CM,Rheumatic aortic insufficiency,35207649,valv
I06.2,ICD10CM,Rheumatic aortic stenosis with insufficiency,35207650,valv
I09.1,ICD10CM,"Rheumatic diseases of endocardium, valve unspecified",35207665,valv
I36.8,ICD10CM,Other nonrheumatic tricuspid valve disorders,35207741,valv
A52.09,ICD10CM,Other cardiovascular syphilis,45537732,valv
I37.9,ICD10CM,"Nonrheumatic pulmonary valve disorder, unspecified",35207747,valv
I08.2,ICD10CM,Rheumatic disorders of both aortic and tricuspid valves,35207660,valv
Q23.0,ICD10CM,Congenital stenosis of aortic valve,35210816,valv
A52.03,ICD10CM,Syphilitic endocarditis,45537731,valv
Q23.1,ICD10CM,Congenital insufficiency of aortic valve,35210817,valv
I05.0,ICD10CM,Rheumatic mitral stenosis,35207643,valv
I36.1,ICD10CM,Nonrheumatic tricuspid (valve) insufficiency,35207739,valv
Z95.3,ICD10CM,Presence of xenogenic heart valve,35225416,valv
I05.8,ICD10CM,Other rheumatic mitral valve diseases,35207646,valv
I08.9,ICD10CM,"Rheumatic multiple valve disease, unspecified",35207663,valv
I37.2,ICD10CM,Nonrheumatic pulmonary valve stenosis with insufficiency,35207745,valv
I35.9,ICD10CM,"Nonrheumatic aortic valve disorder, unspecified",35207737,valv
A52.02,ICD10CM,Syphilitic aortitis,45585920,valv
I07.0,ICD10CM,Rheumatic tricuspid stenosis,35207653,valv
I34.8,ICD10CM,Other nonrheumatic mitral valve disorders,35207731,valv
I35.0,ICD10CM,Nonrheumatic aortic (valve) stenosis,35207733,valv
I05.1,ICD10CM,Rheumatic mitral insufficiency,35207644,valv
I09.81,ICD10CM,Rheumatic heart failure,45605777,valv
I07.2,ICD10CM,Rheumatic tricuspid stenosis and insufficiency,35207655,valv
I38,ICD10CM,"Endocarditis, valve unspecified",35207748,valv
I34.2,ICD10CM,Nonrheumatic mitral (valve) stenosis,35207730,valv
Z95.4,ICD10CM,Presence of other heart-valve replacement,35225417,valv
Z95.2,ICD10CM,Presence of prosthetic heart valve,35225415,valv
I06.9,ICD10CM,"Rheumatic aortic valve disease, unspecified",35207652,valv
I07.9,ICD10CM,"Rheumatic tricuspid valve disease, unspecified",35207657,valv
I08.1,ICD10CM,Rheumatic disorders of both mitral and tricuspid valves,35207659,valv
I35.1,ICD10CM,Nonrheumatic aortic (valve) insufficiency,35207734,valv
A52.05,ICD10CM,Other cerebrovascular syphilis,45556905,valv
A52.00,ICD10CM,"Cardiovascular syphilis, unspecified",45590822,valv
A52.01,ICD10CM,Syphilitic aneurysm of aorta,45542532,valv
I37.0,ICD10CM,Nonrheumatic pulmonary valve stenosis,35207743,valv
I36.2,ICD10CM,Nonrheumatic tricuspid (valve) stenosis with insufficiency,35207740,valv
I34.9,ICD10CM,"Nonrheumatic mitral valve disorder, unspecified",35207732,valv
I37.1,ICD10CM,Nonrheumatic pulmonary valve insufficiency,35207744,valv
Q23.3,ICD10CM,Congenital mitral insufficiency,35210819,valv
I36.0,ICD10CM,Nonrheumatic tricuspid (valve) stenosis,35207738,valv
I39,ICD10CM,Endocarditis and heart valve disorders in diseases classified elsewhere,35207749,valv
I36.9,ICD10CM,"Nonrheumatic tricuspid valve disorder, unspecified",35207742,valv
I07.8,ICD10CM,Other rheumatic tricuspid valve diseases,35207656,valv
I35.2,ICD10CM,Nonrheumatic aortic (valve) stenosis with insufficiency,35207735,valv
