"Code","Description","id"
"A241","Acute and fulminating melioidosis",158
"A242","Subacute and chronic melioidosis",159
"A243","Other melioidosis",160
"A249","Melioidosis, unspecified",161
"A250","Spirillosis",162
"A251","Streptobacillosis",163
"A259","Rat-bite fever, unspecified",164
"A260","Cutaneous erysipeloid",165
"A267","Erysipelothrix sepsis",166
"A268","Other forms of erysipeloid",167
"A269","Erysipeloid, unspecified",168
"A270","Leptospirosis icterohemorrhagica",169
"A2781","Aseptic meningitis in leptospirosis",170
"A2789","Other forms of leptospirosis",171
"A279","Leptospirosis, unspecified",172
"A280","Pasteurellosis",173
"A281","Cat-scratch disease",174
"A282","Extraintestinal yersiniosis",175
"A288","Other specified zoonotic bacterial diseases, not elsewhere classified",176
"A289","Zoonotic bacterial disease, unspecified",177
"A300","Indeterminate leprosy",178
"A301","Tuberculoid leprosy",179
"A302","Borderline tuberculoid leprosy",180
"A303","Borderline leprosy",181
"A304","Borderline lepromatous leprosy",182
"A305","Lepromatous leprosy",183
"A308","Other forms of leprosy",184
"A309","Leprosy, unspecified",185
"A310","Pulmonary mycobacterial infection",186
"A311","Cutaneous mycobacterial infection",187
"A312","Disseminated mycobacterium avium-intracellulare complex (DMAC)",188
"A318","Other mycobacterial infections",189
"A319","Mycobacterial infection, unspecified",190
"A320","Cutaneous listeriosis",191
"A3211","Listerial meningitis",192
"A3212","Listerial meningoencephalitis",193
"A327","Listerial sepsis",194
"A3281","Oculoglandular listeriosis",195
"A3282","Listerial endocarditis",196
"A3289","Other forms of listeriosis",197
"A329","Listeriosis, unspecified",198
"A33","Tetanus neonatorum",199
"A34","Obstetrical tetanus",200
"A35","Other tetanus",201
"A360","Pharyngeal diphtheria",202
"A361","Nasopharyngeal diphtheria",203
"A362","Laryngeal diphtheria",204
"A363","Cutaneous diphtheria",205
"A3681","Diphtheritic cardiomyopathy",206
"A3682","Diphtheritic radiculomyelitis",207
"A3683","Diphtheritic polyneuritis",208
"A3684","Diphtheritic tubulo-interstitial nephropathy",209
"A3685","Diphtheritic cystitis",210
"A3686","Diphtheritic conjunctivitis",211
"A3689","Other diphtheritic complications",212
"A369","Diphtheria, unspecified",213
"A3700","Whooping cough due to Bordetella pertussis without pneumonia",214
"A3701","Whooping cough due to Bordetella pertussis with pneumonia",215
"A3710","Whooping cough due to Bordetella parapertussis without pneumonia",216
"A3711","Whooping cough due to Bordetella parapertussis with pneumonia",217
"A3780","Whooping cough due to other Bordetella species without pneumonia",218
"A3781","Whooping cough due to other Bordetella species with pneumonia",219
"A3790","Whooping cough, unspecified species without pneumonia",220
"A3791","Whooping cough, unspecified species with pneumonia",221
"A380","Scarlet fever with otitis media",222
"A381","Scarlet fever with myocarditis",223
"A388","Scarlet fever with other complications",224
"A389","Scarlet fever, uncomplicated",225
"A390","Meningococcal meningitis",226
"A391","Waterhouse-Friderichsen syndrome",227
"A392","Acute meningococcemia",228
"A393","Chronic meningococcemia",229
"A394","Meningococcemia, unspecified",230
"A3950","Meningococcal carditis, unspecified",231
"A3951","Meningococcal endocarditis",232
"A3952","Meningococcal myocarditis",233
"A3953","Meningococcal pericarditis",234
"A3981","Meningococcal encephalitis",235
"A3982","Meningococcal retrobulbar neuritis",236
"A3983","Meningococcal arthritis",237
"A3984","Postmeningococcal arthritis",238
"A3989","Other meningococcal infections",239
"A399","Meningococcal infection, unspecified",240
"A400","Sepsis due to streptococcus, group A",241
"A401","Sepsis due to streptococcus, group B",242
"A403","Sepsis due to Streptococcus pneumoniae",243
"A408","Other streptococcal sepsis",244
"A409","Streptococcal sepsis, unspecified",245
"A4101","Sepsis due to Methicillin susceptible Staphylococcus aureus",246
"A4102","Sepsis due to Methicillin resistant Staphylococcus aureus",247
"A411","Sepsis due to other specified staphylococcus",248
"A412","Sepsis due to unspecified staphylococcus",249
"A413","Sepsis due to Hemophilus influenzae",250
"A414","Sepsis due to anaerobes",251
"A4150","Gram-negative sepsis, unspecified",252
"A4151","Sepsis due to Escherichia coli [E. coli]",253
"A4152","Sepsis due to Pseudomonas",254
"A4153","Sepsis due to Serratia",255
"A4159","Other Gram-negative sepsis",256
"A4181","Sepsis due to Enterococcus",257
"A4189","Other specified sepsis",258
"A419","Sepsis, unspecified organism",259
"A420","Pulmonary actinomycosis",260
"A421","Abdominal actinomycosis",261
"A422","Cervicofacial actinomycosis",262
"A427","Actinomycotic sepsis",263
"A4281","Actinomycotic meningitis",264
"A4282","Actinomycotic encephalitis",265
"A4289","Other forms of actinomycosis",266
"A429","Actinomycosis, unspecified",267
"A430","Pulmonary nocardiosis",268
"A431","Cutaneous nocardiosis",269
"A438","Other forms of nocardiosis",270
"A439","Nocardiosis, unspecified",271
"A440","Systemic bartonellosis",272
"A441","Cutaneous and mucocutaneous bartonellosis",273
"A448","Other forms of bartonellosis",274
"A449","Bartonellosis, unspecified",275
"A46","Erysipelas",276
"A480","Gas gangrene",277
"A481","Legionnaires' disease",278
"A482","Nonpneumonic Legionnaires' disease [Pontiac fever]",279
"A483","Toxic shock syndrome",280
"A484","Brazilian purpuric fever",281
"A4851","Infant botulism",282
"A4852","Wound botulism",283
"A488","Other specified bacterial diseases",284
"A4901","Methicillin susceptible Staphylococcus aureus infection, unspecified site",285
"A4902","Methicillin resistant Staphylococcus aureus infection, unspecified site",286
"A491","Streptococcal infection, unspecified site",287
"A492","Hemophilus influenzae infection, unspecified site",288
"A493","Mycoplasma infection, unspecified site",289
"A498","Other bacterial infections of unspecified site",290
"A499","Bacterial infection, unspecified",291
"A5001","Early congenital syphilitic oculopathy",292
"A5002","Early congenital syphilitic osteochondropathy",293
"A5003","Early congenital syphilitic pharyngitis",294
"A5004","Early congenital syphilitic pneumonia",295
"A5005","Early congenital syphilitic rhinitis",296
"A5006","Early cutaneous congenital syphilis",297
"A5007","Early mucocutaneous congenital syphilis",298
